Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18886.7,   -0.5,    0.9913, 2,    18886.7, -120.5,    0.9913, 3,    18886.7,  119.5,    0.9913
"PPU_DUMA_11KV", 11, 1,     6021.4,  -34.6,   0.94812, 2,     6021.4, -154.6,   0.94812, 3,     6021.4,   85.4,   0.94812
"RPPLNGI2", 11, 1,    5983.64,  -34.7,   0.94218, 2,    5983.64, -154.7,   0.94218, 3,    5983.64,   85.3,   0.94218
"PDTJLNMASJID", 11, 1,    5955.39,  -34.8,   0.93773, 2,    5955.39, -154.8,   0.93773, 3,    5955.39,   85.2,   0.93773
"BELLA", 11, 1,    5936.59,  -34.9,   0.93477, 2,    5936.59, -154.9,   0.93477, 3,    5936.59,   85.1,   0.93477
"PSTPDGN", 11, 1,     5927.2,  -34.9,   0.93329, 2,     5927.2, -154.9,   0.93329, 3,     5927.2,   85.1,   0.93329
"PAMDRA", 11, 1,    6019.59,  -34.6,   0.94784, 2,    6019.59, -154.6,   0.94784, 3,    6019.59,   85.4,   0.94784
"DUMA4", 11, 1,    6013.13,  -34.6,   0.94682, 2,    6013.13, -154.6,   0.94682, 3,    6013.13,   85.4,   0.94682
"PLSDRA", 11, 1,    5996.48,  -34.6,    0.9442, 2,    5996.48, -154.6,    0.9442, 3,    5996.48,   85.4,    0.9442
"SSU_UPTWRES_IR1", 11, 1,    5990.77,  -34.6,    0.9433, 2,    5990.77, -154.6,    0.9433, 3,    5990.77,   85.4,    0.9433
"ATRIA_1", 11, 1,    5989.79,  -34.7,   0.94315, 2,    5989.79, -154.7,   0.94315, 3,    5989.79,   85.3,   0.94315
"HAWKER", 11, 1,    5983.33,  -34.8,   0.94213, 2,    5983.33, -154.8,   0.94213, 3,    5983.33,   85.2,   0.94213
"PRMTE", 11, 1,    5966.12,  -34.8,   0.93942, 2,    5966.12, -154.8,   0.93942, 3,    5966.12,   85.2,   0.93942
"PRMTA", 11, 1,    5958.06,  -34.9,   0.93815, 2,    5958.06, -154.9,   0.93815, 3,    5958.06,   85.1,   0.93815
"PMONTB", 11, 1,    5954.48,  -34.9,   0.93759, 2,    5954.48, -154.9,   0.93759, 3,    5954.48,   85.1,   0.93759
"DUMA7", 11, 1,    6011.12,  -34.7,   0.94651, 2,    6011.12, -154.7,   0.94651, 3,    6011.12,   85.3,   0.94651
"HAUS", 11, 1,    5999.03,  -34.7,    0.9446, 2,    5999.03, -154.7,    0.9446, 3,    5999.03,   85.3,    0.9446
"DUMA6", 11, 1,    5968.45,  -34.6,   0.93979, 2,    5968.45, -154.6,   0.93979, 3,    5968.45,   85.4,   0.93979
"DUMA13", 11, 1,    5945.37,  -34.6,   0.93615, 2,    5945.37, -154.6,   0.93615, 3,    5945.37,   85.4,   0.93615
"SSU_DUMA5_IM2", 11, 1,     5939.3,  -34.6,    0.9352, 2,     5939.3, -154.6,    0.9352, 3,     5939.3,   85.4,    0.9352
"PLNGI_B", 11, 1,    6015.06,  -34.7,   0.94713, 2,    6015.06, -154.7,   0.94713, 3,    6015.06,   85.3,   0.94713
"PLNGI_D", 11, 1,     6014.4,  -34.7,   0.94702, 2,     6014.4, -154.7,   0.94702, 3,     6014.4,   85.3,   0.94702
"PDTLITRAK", 11, 1,    5969.28,  -34.8,   0.93992, 2,    5969.28, -154.8,   0.93992, 3,    5969.28,   85.2,   0.93992
"DUMA12", 11, 1,    5948.26,  -34.8,   0.93661, 2,    5948.26, -154.8,   0.93661, 3,    5948.26,   85.2,   0.93661
"TMNGH4", 11, 1,    5931.98,  -34.8,   0.93404, 2,    5931.98, -154.8,   0.93404, 3,    5931.98,   85.2,   0.93404
"SSU_TMEGAH3_IR1", 11, 1,    5925.26,  -34.8,   0.93299, 2,    5925.26, -154.8,   0.93299, 3,    5925.26,   85.2,   0.93299
"TMNGH2", 11, 1,    5921.41,  -34.8,   0.93238, 2,    5921.41, -154.8,   0.93238, 3,    5921.41,   85.2,   0.93238
"SPRK9", 11, 1,    5925.19,  -34.9,   0.93298, 2,    5925.19, -154.9,   0.93298, 3,    5925.19,   85.1,   0.93298
