Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",      19028,   0.99871,    33.00, 9.27498E-006, 4.874E-008, 1.23938E-006, 6.513E-009, 3.71815E-006, 6.525E-009
"PPU_DUMA_11KV_A",     6284.5,   0.98955,    11.00, 3.26041E-006, 5.188E-008, 2.13951E-008, 3.404E-010, 6.41839E-008, 6.588E-009
"PPU_DUMA_11KV_B",    6249.26,     0.984,    11.00, 3.24488E-006, 5.192E-008, 3.35455E-008, 5.368E-010, 1.00637E-007, 6.631E-009
"RPPLNGI2",    6279.64,   0.98879,    11.00, 3.25862E-006, 5.189E-008, 3.46064E-008, 5.511E-010, 1.03818E-007, 6.598E-009
"PDTJLNMASJID",     6302.6,    0.9924,    11.00, 3.26898E-006, 5.187E-008, 3.55982E-008, 5.648E-010, 1.06794E-007, 6.572E-009
"BELLA",    6317.98,   0.99482,    11.00, 3.27593E-006, 5.185E-008, 3.63445E-008, 5.753E-010, 1.09033E-007, 6.556E-009
"PSTPDGN",     6325.7,   0.99604,    11.00, 3.27941E-006, 5.184E-008, 3.67416E-008, 5.808E-010, 1.10224E-007, 6.547E-009
"ATRIA_1",    6309.19,   0.99344,    11.00, 3.27203E-006, 5.186E-008, 3.46927E-008, 5.499E-010, 1.04079E-007, 6.567E-009
"HAWKER",    6318.53,   0.99491,    11.00, 3.27631E-006, 5.185E-008, 4.69495E-008, 7.43E-010, 1.40848E-007, 6.557E-009
"DUMA7",    6264.12,   0.98634,    11.00, 3.25167E-006, 5.191E-008, 3.41038E-008, 5.444E-010, 1.02311E-007, 6.616E-009
"HAUS",    6302.08,   0.99232,    11.00, 3.26912E-006, 5.187E-008, 5.83945E-008, 9.266E-010, 1.75182E-007, 6.58E-009
"DUMA6",    6408.35,    1.0091,    11.00, 3.31811E-006, 5.178E-008, 1.7687E-007, 2.76E-009, 5.30608E-007, 6.483E-009
"DUMA13",    6509.15,    1.0249,    11.00, 3.36467E-006, 5.169E-008, 2.99037E-007, 4.594E-009, 8.97109E-007, 6.396E-009
"SSU_DUMA5_IM2",    6519.78,    1.0266,    11.00, 3.36954E-006, 5.168E-008, 3.00447E-007, 4.608E-009, 9.01339E-007, 6.387E-009
"PDTLITRAK",    6362.25,    1.0018,    11.00, 3.29673E-006, 5.182E-008, 3.637E-008, 5.717E-010, 1.09109E-007, 6.522E-009
"DUMA12",    6407.87,     1.009,    11.00, 3.31768E-006, 5.178E-008, 3.81715E-008, 5.957E-010, 1.14514E-007, 6.479E-009
"TMNGH4",    6454.12,    1.0163,    11.00, 3.33902E-006, 5.173E-008, 6.32669E-008, 9.803E-010, 1.89798E-007, 6.438E-009
"SSU_TMEGAH3_IR1",    6472.43,    1.0191,    11.00, 3.34748E-006, 5.172E-008, 7.63236E-008, 1.179E-009, 2.28968E-007, 6.422E-009
"TMNGH2",    6479.47,    1.0203,    11.00, 3.35074E-006, 5.171E-008, 8.18891E-008, 1.264E-009, 2.45665E-007, 6.416E-009
"SSU_UPTWRES_IM2",    6261.18,   0.98588,    11.00, 3.25031E-006, 5.191E-008, 3.79255E-008, 6.057E-010, 1.13776E-007, 6.618E-009
"MAYBANK",    6287.13,   0.98997,    11.00, 3.26211E-006, 5.189E-008, 3.89562E-008, 6.196E-010, 1.16868E-007, 6.591E-009
"DUMA8",    6292.25,   0.99077,    11.00, 3.26444E-006, 5.188E-008, 4.07022E-008, 6.469E-010, 1.22106E-007, 6.586E-009
"DUMA9",    6314.39,   0.99426,    11.00, 3.27434E-006, 5.186E-008, 3.53509E-008, 5.598E-010, 1.06052E-007, 6.56E-009
"DUMA1",     6341.1,   0.99846,    11.00, 3.28641E-006, 5.183E-008, 3.63765E-008, 5.737E-010, 1.09129E-007, 6.532E-009
"ELITE",    6350.67,   0.99997,    11.00, 3.29073E-006, 5.182E-008, 3.67798E-008, 5.791E-010, 1.10339E-007, 6.521E-009
