Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,      19028,    1.6,   0.99871, 2,      19028, -118.4,   0.99871, 3,      19028,  121.6,   0.99871
"PPU_DUMA_11KV_A", 11, 1,     6284.5,  -25.5,   0.98955, 2,     6284.5, -145.5,   0.98955, 3,     6284.5,   94.5,   0.98955
"PPU_DUMA_11KV_B", 11, 1,    6249.26,  -24.2,     0.984, 2,    6249.26, -144.2,     0.984, 3,    6249.26,   95.8,     0.984
"RPPLNGI2", 11, 1,    6279.64,  -23.7,   0.98879, 2,    6279.64, -143.7,   0.98879, 3,    6279.64,   96.3,   0.98879
"PDTJLNMASJID", 11, 1,     6302.6,  -23.3,    0.9924, 2,     6302.6, -143.3,    0.9924, 3,     6302.6,   96.7,    0.9924
"BELLA", 11, 1,    6317.98,  -23.1,   0.99482, 2,    6317.98, -143.1,   0.99482, 3,    6317.98,   96.9,   0.99482
"PSTPDGN", 11, 1,     6325.7,  -23.0,   0.99604, 2,     6325.7, -143.0,   0.99604, 3,     6325.7,   97.0,   0.99604
"ATRIA_1", 11, 1,    6309.19,  -23.5,   0.99344, 2,    6309.19, -143.5,   0.99344, 3,    6309.19,   96.5,   0.99344
"HAWKER", 11, 1,    6318.53,  -22.9,   0.99491, 2,    6318.53, -142.9,   0.99491, 3,    6318.53,   97.1,   0.99491
"DUMA7", 11, 1,    6264.12,  -24.0,   0.98634, 2,    6264.12, -144.0,   0.98634, 3,    6264.12,   96.0,   0.98634
"HAUS", 11, 1,    6302.08,  -23.8,   0.99232, 2,    6302.08, -143.8,   0.99232, 3,    6302.08,   96.2,   0.99232
"DUMA6", 11, 1,    6408.35,  -23.3,    1.0091, 2,    6408.35, -143.3,    1.0091, 3,    6408.35,   96.7,    1.0091
"DUMA13", 11, 1,    6509.15,  -22.8,    1.0249, 2,    6509.15, -142.8,    1.0249, 3,    6509.15,   97.2,    1.0249
"SSU_DUMA5_IM2", 11, 1,    6519.78,  -22.7,    1.0266, 2,    6519.78, -142.7,    1.0266, 3,    6519.78,   97.3,    1.0266
"PDTLITRAK", 11, 1,    6362.25,  -22.9,    1.0018, 2,    6362.25, -142.9,    1.0018, 3,    6362.25,   97.1,    1.0018
"DUMA12", 11, 1,    6407.87,  -22.3,     1.009, 2,    6407.87, -142.3,     1.009, 3,    6407.87,   97.7,     1.009
"TMNGH4", 11, 1,    6454.12,  -22.1,    1.0163, 2,    6454.12, -142.1,    1.0163, 3,    6454.12,   97.9,    1.0163
