Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18895.5,   -0.5,   0.99176, 2,    18895.5, -120.5,   0.99176, 3,    18895.5,  119.5,   0.99176
"PPU_DUMA_11KV_A", 11, 1,    6222.17,  -31.7,   0.97974, 2,    6222.17, -151.7,   0.97974, 3,    6222.17,   88.3,   0.97974
"PPU_DUMA_11KV_B", 11, 1,    6188.62,  -32.2,   0.97445, 2,    6188.62, -152.2,   0.97445, 3,    6188.62,   87.8,   0.97445
"RPPLNGI2", 11, 1,    6150.81,  -32.3,    0.9685, 2,    6150.81, -152.3,    0.9685, 3,    6150.81,   87.7,    0.9685
"PDTJLNMASJID", 11, 1,    6122.41,  -32.3,   0.96403, 2,    6122.41, -152.3,   0.96403, 3,    6122.41,   87.7,   0.96403
"BELLA", 11, 1,    6103.46,  -32.4,   0.96105, 2,    6103.46, -152.4,   0.96105, 3,    6103.46,   87.6,   0.96105
"PSTPDGN", 11, 1,    6093.97,  -32.4,   0.95955, 2,    6093.97, -152.4,   0.95955, 3,    6093.97,   87.6,   0.95955
"ATRIA_1", 11, 1,    6157.38,  -32.2,   0.96954, 2,    6157.38, -152.2,   0.96954, 3,    6157.38,   87.8,   0.96954
"HAWKER", 11, 1,    6150.99,  -32.3,   0.96853, 2,    6150.99, -152.3,   0.96853, 3,    6150.99,   87.7,   0.96853
"DUMA7", 11, 1,    6178.45,  -32.2,   0.97285, 2,    6178.45, -152.2,   0.97285, 3,    6178.45,   87.8,   0.97285
"HAUS", 11, 1,    6166.41,  -32.2,   0.97096, 2,    6166.41, -152.2,   0.97096, 3,    6166.41,   87.8,   0.97096
"DUMA6", 11, 1,    6135.81,  -32.2,   0.96614, 2,    6135.81, -152.2,   0.96614, 3,    6135.81,   87.8,   0.96614
"DUMA13", 11, 1,    6112.62,  -32.1,   0.96249, 2,    6112.62, -152.1,   0.96249, 3,    6112.62,   87.9,   0.96249
"SSU_DUMA5_IM2", 11, 1,    6106.52,  -32.2,   0.96153, 2,    6106.52, -152.2,   0.96153, 3,    6106.52,   87.8,   0.96153
"PDTLITRAK", 11, 1,     6136.2,  -32.3,    0.9662, 2,     6136.2, -152.3,    0.9662, 3,     6136.2,   87.7,    0.9662
"DUMA12", 11, 1,    6115.01,  -32.4,   0.96286, 2,    6115.01, -152.4,   0.96286, 3,    6115.01,   87.6,   0.96286
"TMNGH4", 11, 1,    6098.55,  -32.3,   0.96027, 2,    6098.55, -152.3,   0.96027, 3,    6098.55,   87.7,   0.96027
"SSU_TMEGAH3_IR1", 11, 1,    6091.75,  -32.3,    0.9592, 2,    6091.75, -152.3,    0.9592, 3,    6091.75,   87.7,    0.9592
"TMNGH2", 11, 1,    6087.86,  -32.3,   0.95859, 2,    6087.86, -152.3,   0.95859, 3,    6087.86,   87.7,   0.95859
"SSU_UPTWRES_IM2", 11, 1,    6174.98,  -32.2,   0.97231, 2,    6174.98, -152.2,   0.97231, 3,    6174.98,   87.8,   0.97231
"MAYBANK", 11, 1,    6166.93,  -32.2,   0.97104, 2,    6166.93, -152.2,   0.97104, 3,    6166.93,   87.8,   0.97104
"DUMA8", 11, 1,    6165.67,  -32.2,   0.97084, 2,    6165.67, -152.2,   0.97084, 3,    6165.67,   87.8,   0.97084
"DUMA9", 11, 1,    6136.97,  -32.3,   0.96632, 2,    6136.97, -152.3,   0.96632, 3,    6136.97,   87.7,   0.96632
"DUMA1", 11, 1,       6116,  -32.4,   0.96302, 2,       6116, -152.4,   0.96302, 3,       6116,   87.6,   0.96302
"ELITE", 11, 1,     6108.5,  -32.4,   0.96184, 2,     6108.5, -152.4,   0.96184, 3,     6108.5,   87.6,   0.96184
"PAMDRA", 11, 1,     6220.4,  -31.7,   0.97946, 2,     6220.4, -151.7,   0.97946, 3,     6220.4,   88.3,   0.97946
"DUMA4", 11, 1,    6214.06,  -31.7,   0.97846, 2,    6214.06, -151.7,   0.97846, 3,    6214.06,   88.3,   0.97846
"PLSDRA", 11, 1,    6197.72,  -31.7,   0.97589, 2,    6197.72, -151.7,   0.97589, 3,    6197.72,   88.3,   0.97589
"PRMTE", 11, 1,    6167.32,  -31.9,    0.9711, 2,    6167.32, -151.9,    0.9711, 3,    6167.32,   88.1,    0.9711
"PRMTA", 11, 1,     6159.3,  -31.9,   0.96984, 2,     6159.3, -151.9,   0.96984, 3,     6159.3,   88.1,   0.96984
"PMONTB", 11, 1,    6155.74,  -31.9,   0.96928, 2,    6155.74, -151.9,   0.96928, 3,    6155.74,   88.1,   0.96928
"PLNGI_B", 11, 1,       6216,  -31.7,   0.97877, 2,       6216, -151.7,   0.97877, 3,       6216,   88.3,   0.97877
"PLNGI_D", 11, 1,    6215.35,  -31.7,   0.97866, 2,    6215.35, -151.7,   0.97866, 3,    6215.35,   88.3,   0.97866
"SPRK9", 11, 1,    6125.27,  -31.9,   0.96448, 2,    6125.27, -151.9,   0.96448, 3,    6125.27,   88.1,   0.96448
"BOMBA", 11, 1,    6120.89,  -31.9,   0.96379, 2,    6120.89, -151.9,   0.96379, 3,    6120.89,   88.1,   0.96379
"SPRK8", 11, 1,    6109.93,  -31.9,   0.96206, 2,    6109.93, -151.9,   0.96206, 3,    6109.93,   88.1,   0.96206
"SSU_DSARCNTR_IR1", 11, 1,    6220.29,  -31.7,   0.97944, 2,    6220.29, -151.7,   0.97944, 3,    6220.29,   88.3,   0.97944
"DUMA10", 11, 1,    6200.29,  -31.7,   0.97629, 2,    6200.29, -151.7,   0.97629, 3,    6200.29,   88.3,   0.97629
"BALAIPOLIS", 11, 1,    6200.06,  -31.7,   0.97626, 2,    6200.06, -151.7,   0.97626, 3,    6200.06,   88.3,   0.97626
"SSU_UPTWRES_IR1", 11, 1,    6192.11,  -31.7,     0.975, 2,    6192.11, -151.7,     0.975, 3,    6192.11,   88.3,     0.975
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
