Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19028.2,   0.99872,    33.00, 9.24487E-006, 4.859E-008, 1.23938E-006, 6.513E-009, 3.71815E-006, 6.488E-009
"PPU_DUMA_11KV_A",    6277.75,   0.98849,    11.00, 3.25603E-006, 5.187E-008, 3.60829E-008, 5.748E-010, 1.08249E-007, 6.569E-009
"PPU_DUMA_11KV_B",    6221.78,   0.97968,    11.00, 3.21555E-006, 5.168E-008, 1.34132E-007, 2.156E-009, 4.02397E-007, 6.373E-009
"RPPLNGI2",    6284.71,   0.98958,    11.00, 3.24392E-006, 5.162E-008, 1.33543E-007, 2.125E-009, 4.00629E-007, 6.305E-009
"PDTJLNMASJID",    6332.27,   0.99707,    11.00, 3.26535E-006, 5.157E-008, 1.33246E-007, 2.104E-009, 3.99739E-007, 6.254E-009
"BELLA",    6364.14,    1.0021,    11.00, 3.2797E-006, 5.153E-008, 1.33115E-007, 2.092E-009, 3.99346E-007, 6.22E-009
"PSTPDGN",    6380.13,    1.0046,    11.00, 3.2869E-006, 5.152E-008, 1.33071E-007, 2.086E-009, 3.99212E-007, 6.203E-009
"ATRIA_1",    6325.79,   0.99605,    11.00, 3.26264E-006, 5.158E-008, 1.32782E-007, 2.099E-009, 3.98349E-007, 6.264E-009
"HAWKER",    6342.62,    0.9987,    11.00, 3.27029E-006, 5.156E-008, 1.45513E-007, 2.294E-009, 4.36538E-007, 6.245E-009
"DUMA7",    6248.47,   0.98388,    11.00, 3.22158E-006, 5.156E-008, 1.42036E-007, 2.273E-009, 4.26109E-007, 6.248E-009
"HAUS",    6310.14,   0.99359,    11.00, 3.23826E-006, 5.132E-008, 5.91728E-007, 9.377E-009, 1.77518E-006, 6.009E-009
"DUMA6",    6480.61,    1.0204,    11.00, 3.27643E-006, 5.056E-008, 2.41926E-006, 3.733E-008, 7.25779E-006, 5.252E-009
"DUMA13",    6639.25,    1.0454,    11.00, 3.30645E-006, 4.98E-008, 4.40231E-006, 6.631E-008, 1.32069E-005, 4.5E-009
"SSU_DUMA5_IM2",    6657.65,    1.0483,    11.00, 3.30774E-006, 4.968E-008, 4.42575E-006, 6.648E-008, 1.32773E-005, 4.382E-009
"PDTLITRAK",    6410.65,    1.0094,    11.00, 3.30252E-006, 5.152E-008, 1.33942E-007, 2.089E-009, 4.01829E-007, 6.202E-009
"DUMA12",    6487.42,    1.0215,    11.00, 3.33796E-006, 5.145E-008, 1.3431E-007, 2.07E-009, 4.02932E-007, 6.136E-009
"TMNGH4",    6563.11,    1.0334,    11.00, 3.37324E-006, 5.14E-008, 1.40998E-007, 2.148E-009, 4.22995E-007, 6.08E-009
"SSU_TMEGAH3_IR1",    6593.18,    1.0382,    11.00, 3.3873E-006, 5.138E-008, 1.47442E-007, 2.236E-009, 4.42328E-007, 6.058E-009
"TMNGH2",    6605.33,    1.0401,    11.00, 3.39299E-006, 5.137E-008, 1.50833E-007, 2.283E-009, 4.52498E-007, 6.05E-009
"SSU_UPTWRES_IM2",    6246.25,   0.98353,    11.00, 3.22669E-006, 5.166E-008, 1.29257E-007, 2.069E-009, 3.8777E-007, 6.348E-009
"MAYBANK",    6289.03,   0.99027,    11.00, 3.2462E-006, 5.162E-008, 1.28965E-007, 2.051E-009, 3.86894E-007, 6.306E-009
"DUMA8",    6297.32,   0.99157,    11.00, 3.24999E-006, 5.161E-008, 1.27839E-007, 2.03E-009, 3.83517E-007, 6.298E-009
"DUMA9",    6342.41,   0.99867,    11.00,  3.27E-006, 5.156E-008, 1.3303E-007, 2.097E-009, 3.99093E-007, 6.245E-009
"DUMA1",    6391.99,    1.0065,    11.00, 3.29235E-006, 5.151E-008, 1.32767E-007, 2.077E-009, 3.98302E-007, 6.193E-009
"ELITE",    6409.77,    1.0093,    11.00, 3.30036E-006, 5.149E-008, 1.32699E-007, 2.07E-009, 3.98099E-007, 6.174E-009
"PAMDRA",    6286.06,    0.9898,    11.00, 3.25984E-006, 5.186E-008, 3.61934E-008, 5.758E-010, 1.0858E-007, 6.561E-009
"DUMA4",    6313.76,   0.99416,    11.00, 3.27261E-006, 5.183E-008, 4.75488E-008, 7.531E-010, 1.42645E-007, 6.535E-009
"PLSDRA",    6373.07,    1.0035,    11.00, 3.3001E-006, 5.178E-008, 8.89038E-008, 1.395E-009, 2.66709E-007, 6.484E-009
"PRMTE",    6314.76,   0.99432,    11.00, 3.27321E-006, 5.183E-008, 7.04635E-008, 1.116E-009, 2.11389E-007, 6.536E-009
"PRMTA",    6322.11,   0.99547,    11.00, 3.27661E-006, 5.183E-008, 7.11806E-008, 1.126E-009, 2.1354E-007, 6.529E-009
"PMONTB",    6330.66,   0.99682,    11.00, 3.28055E-006, 5.182E-008, 7.71436E-008, 1.219E-009, 2.31429E-007, 6.521E-009
