Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19137.8,    1.0045,    33.00, 9.3161E-006, 4.868E-008, 1.23938E-006, 6.476E-009, 3.71815E-006, 6.495E-009
"PPU_DUMA_11KV_A",    6384.68,    1.0053,    11.00, 3.30656E-006, 5.179E-008, 2.83423E-008, 4.439E-010, 8.5026E-008, 6.495E-009
"PPU_DUMA_11KV_B",    6371.26,    1.0032,    11.00, 3.30108E-006, 5.181E-008, 4.8846E-008, 7.667E-010, 1.46538E-007, 6.515E-009
"RPPLNGI2",    6436.16,    1.0134,    11.00, 3.33048E-006, 5.175E-008, 5.00307E-008, 7.773E-010, 1.50091E-007, 6.448E-009
"PDTJLNMASJID",    6484.96,    1.0211,    11.00, 3.35257E-006, 5.17E-008, 5.1213E-008, 7.897E-010, 1.53637E-007, 6.399E-009
"BELLA",    6517.54,    1.0262,    11.00, 3.36732E-006, 5.167E-008, 5.21295E-008, 7.998E-010, 1.56388E-007, 6.366E-009
"PSTPDGN",    6533.85,    1.0288,    11.00, 3.37471E-006, 5.165E-008, 5.26245E-008, 8.054E-010, 1.57872E-007, 6.35E-009
"ATRIA_1",    6459.38,    1.0171,    11.00, 3.34104E-006, 5.172E-008, 5.05579E-008, 7.827E-010, 1.51674E-007, 6.426E-009
"HAWKER",    6474.52,    1.0195,    11.00, 3.34794E-006, 5.171E-008, 6.40194E-008, 9.888E-010, 1.92057E-007, 6.41E-009
"DUMA7",    6395.36,     1.007,    11.00, 3.31176E-006, 5.178E-008, 4.97646E-008, 7.781E-010, 1.49295E-007, 6.486E-009
"HAUS",    6443.58,    1.0146,    11.00, 3.33311E-006, 5.173E-008, 9.93887E-008, 1.542E-009, 2.98164E-007, 6.43E-009
"DUMA6",    6575.21,    1.0353,    11.00, 3.39099E-006, 5.157E-008, 3.34084E-007, 5.081E-009, 1.00225E-006, 6.274E-009
"DUMA13",    6694.34,    1.0541,    11.00, 3.44299E-006, 5.143E-008, 5.76627E-007, 8.614E-009, 1.72988E-006, 6.132E-009
"SSU_DUMA5_IM2",    6710.22,    1.0566,    11.00, 3.44987E-006, 5.141E-008, 5.79728E-007, 8.639E-009, 1.73918E-006, 6.112E-009
"PDTLITRAK",    6528.85,     1.028,    11.00, 3.37347E-006, 5.167E-008, 5.28674E-008, 8.097E-010, 1.58601E-007, 6.371E-009
"DUMA12",     6592.5,     1.038,    11.00, 3.40276E-006, 5.162E-008, 5.51136E-008, 8.36E-010, 1.6534E-007, 6.315E-009
"TMNGH4",    6652.38,    1.0475,    11.00, 3.43047E-006, 5.157E-008, 8.41458E-008, 1.265E-009, 2.52434E-007, 6.267E-009
"SSU_TMEGAH3_IR1",    6676.32,    1.0512,    11.00, 3.44157E-006, 5.155E-008, 9.93598E-008, 1.488E-009, 2.98076E-007, 6.248E-009
"TMNGH2",    6686.69,    1.0529,    11.00, 3.44638E-006, 5.154E-008, 1.06256E-007, 1.589E-009, 3.18765E-007, 6.24E-009
"SSU_UPTWRES_IM2",    6396.03,    1.0071,    11.00, 3.31236E-006, 5.179E-008, 5.40315E-008, 8.448E-010, 1.62092E-007, 6.49E-009
"MAYBANK",    6429.12,    1.0123,    11.00, 3.32744E-006, 5.176E-008, 5.54179E-008, 8.62E-010, 1.66251E-007, 6.458E-009
"DUMA8",    6435.33,    1.0133,    11.00, 3.33027E-006, 5.175E-008, 5.77644E-008, 8.976E-010, 1.73291E-007, 6.452E-009
"DUMA9",    6482.75,    1.0208,    11.00, 3.3516E-006, 5.17E-008, 5.11997E-008, 7.898E-010, 1.53598E-007, 6.402E-009
"DUMA1",    6528.25,    1.0279,    11.00, 3.3722E-006, 5.166E-008, 5.25049E-008, 8.043E-010, 1.57515E-007, 6.356E-009
"ELITE",    6544.53,    1.0305,    11.00, 3.37957E-006, 5.164E-008, 5.30161E-008, 8.101E-010, 1.59048E-007, 6.34E-009
"PAMDRA",    6391.28,    1.0064,    11.00, 3.30958E-006, 5.178E-008, 2.84479E-008, 4.451E-010, 8.53437E-008, 6.489E-009
