Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18982.8,   0.99634,    33.00, 9.27072E-006, 4.884E-008, 1.23938E-006, 6.529E-009, 3.71815E-006, 6.532E-009
"PPU_DUMA_11KV",    6213.63,   0.97839,    11.00, 3.22774E-006, 5.195E-008, 1.40352E-008, 2.259E-010, 4.21067E-008, 6.656E-009
"RPPLNGI2",    6210.66,   0.97793,    11.00, 3.2264E-006, 5.195E-008, 1.47191E-008, 2.37E-010, 4.41574E-008, 6.659E-009
"PDTJLNMASJID",    6208.46,   0.97758,    11.00, 3.2254E-006, 5.195E-008, 1.52757E-008, 2.46E-010, 4.58276E-008, 6.661E-009
"BELLA",    6207.01,   0.97735,    11.00, 3.22475E-006, 5.195E-008, 1.56661E-008, 2.524E-010, 4.69973E-008, 6.663E-009
"PSTPDGN",    6206.29,   0.97724,    11.00, 3.22442E-006, 5.195E-008, 1.58651E-008, 2.556E-010, 4.75962E-008, 6.664E-009
"PAMDRA",    6215.29,   0.97865,    11.00, 3.22849E-006, 5.194E-008, 1.40147E-008, 2.255E-010, 4.20439E-008, 6.654E-009
"DUMA4",    6220.53,   0.97948,    11.00, 3.23088E-006, 5.194E-008, 1.45354E-008, 2.337E-010, 4.36067E-008, 6.649E-009
"PLSDRA",    6229.96,   0.98096,    11.00, 3.23517E-006, 5.193E-008, 2.2125E-008, 3.551E-010, 6.6374E-008, 6.639E-009
"SSU_UPTWRES_IR1",    6228.66,   0.98076,    11.00, 3.23459E-006, 5.193E-008, 2.22691E-008, 3.575E-010, 6.68057E-008, 6.64E-009
"ATRIA_1",    6228.83,   0.98079,    11.00, 3.23462E-006, 5.193E-008, 1.42306E-008, 2.285E-010, 4.26916E-008, 6.64E-009
"HAWKER",    6230.49,   0.98105,    11.00, 3.23538E-006, 5.193E-008, 1.93805E-008, 3.111E-010, 5.81406E-008, 6.638E-009
"PRMTE",    6190.06,   0.97468,    11.00, 3.21714E-006, 5.197E-008, 2.93872E-008, 4.747E-010, 8.81618E-008, 6.682E-009
"PRMTA",    6187.26,   0.97424,    11.00, 3.21588E-006, 5.198E-008, 2.95967E-008, 4.783E-010, 8.87903E-008, 6.686E-009
"PMONTB",    6187.81,   0.97433,    11.00, 3.21614E-006, 5.198E-008, 3.04185E-008, 4.916E-010, 9.12557E-008, 6.685E-009
"DUMA7",    6216.31,   0.97882,    11.00, 3.22903E-006, 5.194E-008, 1.41161E-008, 2.271E-010, 4.23489E-008, 6.654E-009
"HAUS",    6229.94,   0.98096,    11.00, 3.23538E-006, 5.193E-008, 1.70028E-008, 2.729E-010, 5.10074E-008, 6.643E-009
"DUMA6",    6269.87,   0.98725,    11.00, 3.2541E-006, 5.19E-008, 4.70777E-008, 7.509E-010, 1.41231E-007, 6.61E-009
"DUMA13",    6310.72,   0.99368,    11.00, 3.27332E-006, 5.187E-008, 8.01048E-008, 1.269E-009, 2.40312E-007, 6.579E-009
"SSU_DUMA5_IM2",    6313.26,   0.99408,    11.00, 3.27453E-006, 5.187E-008, 8.04528E-008, 1.274E-009, 2.41356E-007, 6.577E-009
"PLNGI_B",    6224.57,   0.98011,    11.00, 3.23268E-006, 5.193E-008, 1.38469E-008, 2.225E-010, 4.15412E-008, 6.644E-009
"PLNGI_D",    6232.47,   0.98136,    11.00, 3.23625E-006, 5.193E-008, 1.36834E-008, 2.196E-010, 4.10493E-008, 6.635E-009
"PDTLITRAK",    6247.01,   0.98365,    11.00, 3.24295E-006, 5.191E-008, 1.44962E-008, 2.321E-010, 4.34892E-008, 6.622E-009
"DUMA12",     6260.3,   0.98574,    11.00, 3.249E-006, 5.19E-008, 1.49909E-008, 2.395E-010, 4.49721E-008, 6.608E-009
"TMNGH4",    6276.15,   0.98824,    11.00, 3.25624E-006, 5.188E-008, 2.39285E-008, 3.813E-010, 7.17832E-008, 6.592E-009
"SSU_TMEGAH3_IR1",    6282.29,    0.9892,    11.00, 3.25904E-006, 5.188E-008, 2.90743E-008, 4.628E-010, 8.72212E-008, 6.586E-009
"TMNGH2",    6284.04,   0.98948,    11.00, 3.25984E-006, 5.187E-008, 3.125E-008, 4.973E-010, 9.37481E-008, 6.584E-009
"SPRK9",    6195.28,    0.9755,    11.00, 3.21945E-006, 5.197E-008, 1.61159E-008, 2.601E-010, 4.83482E-008, 6.676E-009
"BOMBA",    6195.26,    0.9755,    11.00, 3.21944E-006, 5.197E-008, 1.7264E-008, 2.787E-010, 5.17924E-008, 6.676E-009
"SPRK8",     6195.2,   0.97549,    11.00, 3.21942E-006, 5.197E-008, 2.03937E-008, 3.292E-010, 6.11819E-008, 6.676E-009
"SSU_UPTWRES_IM2",    6212.93,   0.97828,    11.00, 3.22743E-006, 5.195E-008, 1.62978E-008, 2.623E-010, 4.88921E-008, 6.657E-009
"MAYBANK",    6222.07,   0.97972,    11.00, 3.23157E-006, 5.194E-008, 1.64703E-008, 2.647E-010, 4.94102E-008, 6.647E-009
"DUMA8",    6224.04,   0.98003,    11.00, 3.23246E-006, 5.194E-008, 1.6704E-008, 2.684E-010, 5.01118E-008, 6.645E-009
"SSU_DSARCNTR_IR1",    6220.32,   0.97945,    11.00, 3.23076E-006, 5.194E-008, 1.38794E-008, 2.231E-010, 4.16376E-008, 6.649E-009
"DUMA9",    6221.78,   0.97968,    11.00, 3.23143E-006, 5.194E-008, 1.47501E-008, 2.371E-010, 4.42505E-008, 6.647E-009
