Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,      18976,    0.5,   0.99598, 2,      18976, -119.5,   0.99598, 3,      18976,  120.5,   0.99598
"PPU_DUMA_11KV", 11, 1,    6087.05,  -26.1,   0.95846, 2,    6087.05, -146.1,   0.95846, 3,    6087.05,   93.9,   0.95846
"RPPLNGI2", 11, 1,    6084.01,  -25.9,   0.95798, 2,    6084.01, -145.9,   0.95798, 3,    6084.01,   94.1,   0.95798
"PDTJLNMASJID", 11, 1,    6081.76,  -25.8,   0.95763, 2,    6081.76, -145.8,   0.95763, 3,    6081.76,   94.2,   0.95763
"BELLA", 11, 1,    6080.29,  -25.7,    0.9574, 2,    6080.29, -145.7,    0.9574, 3,    6080.29,   94.3,    0.9574
"PSTPDGN", 11, 1,    6079.55,  -25.6,   0.95728, 2,    6079.55, -145.6,   0.95728, 3,    6079.55,   94.4,   0.95728
"PAMDRA", 11, 1,    6088.74,  -26.1,   0.95873, 2,    6088.74, -146.1,   0.95873, 3,    6088.74,   93.9,   0.95873
"DUMA4", 11, 1,    6094.09,  -26.0,   0.95957, 2,    6094.09, -146.0,   0.95957, 3,    6094.09,   94.0,   0.95957
"PLSDRA", 11, 1,    6103.71,  -25.9,   0.96108, 2,    6103.71, -145.9,   0.96108, 3,    6103.71,   94.1,   0.96108
"SSU_UPTWRES_IR1", 11, 1,    6102.39,  -25.9,   0.96088, 2,    6102.39, -145.9,   0.96088, 3,    6102.39,   94.1,   0.96088
"ATRIA_1", 11, 1,    6102.55,  -25.8,    0.9609, 2,    6102.55, -145.8,    0.9609, 3,    6102.55,   94.2,    0.9609
"HAWKER", 11, 1,    6104.25,  -25.6,   0.96117, 2,    6104.25, -145.6,   0.96117, 3,    6104.25,   94.4,   0.96117
"PRMTE", 11, 1,    6062.98,  -26.0,   0.95467, 2,    6062.98, -146.0,   0.95467, 3,    6062.98,   94.0,   0.95467
"PRMTA", 11, 1,    6060.12,  -26.0,   0.95422, 2,    6060.12, -146.0,   0.95422, 3,    6060.12,   94.0,   0.95422
"PMONTB", 11, 1,    6060.68,  -26.0,   0.95431, 2,    6060.68, -146.0,   0.95431, 3,    6060.68,   94.0,   0.95431
"DUMA7", 11, 1,    6089.78,  -26.0,   0.95889, 2,    6089.78, -146.0,   0.95889, 3,    6089.78,   94.0,   0.95889
"HAUS", 11, 1,    6103.68,  -25.9,   0.96108, 2,    6103.68, -145.9,   0.96108, 3,    6103.68,   94.1,   0.96108
"DUMA6", 11, 1,    6144.41,  -25.6,   0.96749, 2,    6144.41, -145.6,   0.96749, 3,    6144.41,   94.4,   0.96749
"DUMA13", 11, 1,    6186.08,  -25.4,   0.97406, 2,    6186.08, -145.4,   0.97406, 3,    6186.08,   94.6,   0.97406
"SSU_DUMA5_IM2", 11, 1,    6188.68,  -25.3,   0.97446, 2,    6188.68, -145.3,   0.97446, 3,    6188.68,   94.7,   0.97446
"PLNGI_B", 11, 1,    6098.21,  -26.0,   0.96022, 2,    6098.21, -146.0,   0.96022, 3,    6098.21,   94.0,   0.96022
"PLNGI_D", 11, 1,    6106.28,  -25.9,   0.96149, 2,    6106.28, -145.9,   0.96149, 3,    6106.28,   94.1,   0.96149
"PDTLITRAK", 11, 1,    6121.08,  -25.5,   0.96382, 2,    6121.08, -145.5,   0.96382, 3,    6121.08,   94.5,   0.96382
"DUMA12", 11, 1,    6134.63,  -25.3,   0.96595, 2,    6134.63, -145.3,   0.96595, 3,    6134.63,   94.7,   0.96595
"TMNGH4", 11, 1,    6150.81,  -25.1,    0.9685, 2,    6150.81, -145.1,    0.9685, 3,    6150.81,   94.9,    0.9685
"SSU_TMEGAH3_IR1", 11, 1,    6157.08,  -25.1,   0.96949, 2,    6157.08, -145.1,   0.96949, 3,    6157.08,   94.9,   0.96949
"TMNGH2", 11, 1,    6158.86,  -25.0,   0.96977, 2,    6158.86, -145.0,   0.96977, 3,    6158.86,   95.0,   0.96977
"SPRK9", 11, 1,     6068.3,  -25.7,   0.95551, 2,     6068.3, -145.7,   0.95551, 3,     6068.3,   94.3,   0.95551
"BOMBA", 11, 1,    6068.28,  -25.7,   0.95551, 2,    6068.28, -145.7,   0.95551, 3,    6068.28,   94.3,   0.95551
"SPRK8", 11, 1,    6068.22,  -25.6,    0.9555, 2,    6068.22, -145.6,    0.9555, 3,    6068.22,   94.4,    0.9555
"SSU_UPTWRES_IM2", 11, 1,    6086.33,  -26.0,   0.95835, 2,    6086.33, -146.0,   0.95835, 3,    6086.33,   94.0,   0.95835
"MAYBANK", 11, 1,    6095.66,  -25.9,   0.95982, 2,    6095.66, -145.9,   0.95982, 3,    6095.66,   94.1,   0.95982
"DUMA8", 11, 1,    6097.67,  -25.9,   0.96013, 2,    6097.67, -145.9,   0.96013, 3,    6097.67,   94.1,   0.96013
"SSU_DSARCNTR_IR1", 11, 1,    6093.88,  -26.1,   0.95954, 2,    6093.88, -146.1,   0.95954, 3,    6093.88,   93.9,   0.95954
"DUMA9", 11, 1,    6095.35,  -25.7,   0.95977, 2,    6095.35, -145.7,   0.95977, 3,    6095.35,   94.3,   0.95977
"DUMA1", 11, 1,    6098.79,  -25.6,   0.96031, 2,    6098.79, -145.6,   0.96031, 3,    6098.79,   94.4,   0.96031
"ELITE", 11, 1,    6100.02,  -25.5,    0.9605, 2,    6100.02, -145.5,    0.9605, 3,    6100.02,   94.5,    0.9605
"DUMA10", 11, 1,    6106.66,  -25.8,   0.96155, 2,    6106.66, -145.8,   0.96155, 3,    6106.66,   94.2,   0.96155
"BALAIPOLIS", 11, 1,    6106.87,  -25.8,   0.96158, 2,    6106.87, -145.8,   0.96158, 3,    6106.87,   94.2,   0.96158
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
