Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19088.7,    1.0019,    33.00, 9.3109E-006, 4.878E-008, 1.23938E-006, 6.493E-009, 3.71815E-006, 6.508E-009
"PPU_DUMA_11KV",    6338.48,   0.99805,    11.00, 3.28809E-006, 5.188E-008, 5.14689E-008, 8.12E-010, 1.54406E-007, 6.578E-009
"RPPLNGI2",     6371.6,    1.0033,    11.00, 3.3031E-006, 5.184E-008, 5.20435E-008, 8.168E-010, 1.56129E-007, 6.543E-009
"PDTJLNMASJID",    6396.48,    1.0072,    11.00, 3.31436E-006, 5.182E-008, 5.25534E-008, 8.216E-010, 1.57659E-007, 6.517E-009
"BELLA",    6413.07,    1.0098,    11.00, 3.32187E-006, 5.18E-008, 5.29285E-008, 8.253E-010, 1.58785E-007, 6.5E-009
"PSTPDGN",    6421.37,    1.0111,    11.00, 3.32563E-006, 5.179E-008, 5.31262E-008, 8.273E-010, 1.59377E-007, 6.491E-009
"PAMDRA",    6341.83,   0.99858,    11.00, 3.28962E-006, 5.187E-008, 5.15172E-008, 8.123E-010, 1.54551E-007, 6.574E-009
"DUMA4",    6353.12,    1.0004,    11.00, 3.29477E-006, 5.186E-008, 5.32984E-008, 8.389E-010, 1.59894E-007, 6.563E-009
"PLSDRA",    6378.18,    1.0043,    11.00, 3.30623E-006, 5.184E-008, 6.14384E-008, 9.633E-010, 1.84314E-007, 6.539E-009
"SSU_UPTWRES_IR1",    6382.36,     1.005,    11.00, 3.30815E-006, 5.183E-008, 6.1647E-008, 9.659E-010, 1.8494E-007, 6.535E-009
"ATRIA_1",    6383.33,    1.0051,    11.00, 3.30842E-006, 5.183E-008, 5.22713E-008, 8.189E-010, 1.56814E-007, 6.531E-009
"HAWKER",    6391.08,    1.0063,    11.00, 3.31195E-006, 5.182E-008, 5.927E-008, 9.274E-010, 1.77809E-007, 6.523E-009
"PRMTE",     6368.5,    1.0028,    11.00, 3.30182E-006, 5.185E-008, 5.90253E-008, 9.268E-010, 1.77074E-007, 6.548E-009
"PRMTA",    6373.52,    1.0036,    11.00, 3.30411E-006, 5.184E-008, 5.92553E-008, 9.297E-010, 1.77764E-007, 6.543E-009
"PMONTB",    6377.49,    1.0042,    11.00, 3.30593E-006, 5.184E-008, 6.08443E-008, 9.54E-010, 1.82531E-007, 6.539E-009
"DUMA7",    6350.84,         1,    11.00, 3.29387E-006, 5.187E-008, 5.1649E-008, 8.133E-010, 1.54947E-007, 6.568E-009
"HAUS",    6375.55,    1.0039,    11.00, 3.3055E-006, 5.185E-008, 5.5759E-008, 8.746E-010, 1.67275E-007, 6.549E-009
"DUMA6",    6443.25,    1.0145,    11.00, 3.33767E-006, 5.18E-008, 8.52426E-008, 1.323E-009, 2.55725E-007, 6.503E-009
"DUMA13",    6504.66,    1.0242,    11.00, 3.36707E-006, 5.176E-008, 1.20443E-007, 1.852E-009, 3.61326E-007, 6.466E-009
"SSU_DUMA5_IM2",    6512.84,    1.0255,    11.00, 3.371E-006, 5.176E-008, 1.2094E-007, 1.857E-009, 3.62819E-007, 6.461E-009
