Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18721.5,    4.8,   0.98262, 2,    18721.5, -115.2,   0.98262, 3,    18721.5,  124.8,   0.98262
"PPU_DUMA_11KV", 11, 1,    5837.75,   -8.0,   0.91921, 2,    5837.75, -128.0,   0.91921, 3,    5837.75,  112.0,   0.91921
"RPPLNGI2", 11, 1,    5969.71,   -6.5,   0.93999, 2,    5969.71, -126.5,   0.93999, 3,    5969.71,  113.5,   0.93999
"PDTJLNMASJID", 11, 1,     6069.7,   -5.4,   0.95573, 2,     6069.7, -125.4,   0.95573, 3,     6069.7,  114.6,   0.95573
"BELLA", 11, 1,    6136.87,   -4.7,   0.96631, 2,    6136.87, -124.7,   0.96631, 3,    6136.87,  115.3,   0.96631
"PSTPDGN", 11, 1,     6170.6,   -4.3,   0.97162, 2,     6170.6, -124.3,   0.97162, 3,     6170.6,  115.7,   0.97162
"PAMDRA", 11, 1,    5853.67,   -7.9,   0.92171, 2,    5853.67, -127.9,   0.92171, 3,    5853.67,  112.1,   0.92171
"DUMA4", 11, 1,    5906.88,   -7.5,   0.93009, 2,    5906.88, -127.5,   0.93009, 3,    5906.88,  112.5,   0.93009
"PLSDRA", 11, 1,    6022.42,   -6.9,   0.94829, 2,    6022.42, -126.9,   0.94829, 3,    6022.42,  113.1,   0.94829
"SSU_UPTWRES_IR1", 11, 1,    6038.72,   -6.8,   0.95085, 2,    6038.72, -126.8,   0.95085, 3,    6038.72,  113.2,   0.95085
"ATRIA_1", 11, 1,    6036.89,   -5.9,   0.95056, 2,    6036.89, -125.9,   0.95056, 3,    6036.89,  114.1,   0.95056
"HAWKER", 11, 1,    6069.48,   -4.4,    0.9557, 2,    6069.48, -124.4,    0.9557, 3,    6069.48,  115.6,    0.9557
"PRMTE", 11, 1,    5940.95,   -6.5,   0.93546, 2,    5940.95, -126.5,   0.93546, 3,    5940.95,  113.5,   0.93546
"PRMTA", 11, 1,    5959.62,   -6.2,    0.9384, 2,    5959.62, -126.2,    0.9384, 3,    5959.62,  113.8,    0.9384
"PMONTB", 11, 1,    5977.21,   -6.2,   0.94117, 2,    5977.21, -126.2,   0.94117, 3,    5977.21,  113.8,   0.94117
"DUMA7", 11, 1,    5889.56,   -7.5,   0.92737, 2,    5889.56, -127.5,   0.92737, 3,    5889.56,  112.5,   0.92737
"HAUS", 11, 1,    6001.75,   -6.9,   0.94503, 2,    6001.75, -126.9,   0.94503, 3,    6001.75,  113.1,   0.94503
"DUMA6", 11, 1,    6307.36,   -5.6,   0.99315, 2,    6307.36, -125.6,   0.99315, 3,    6307.36,  114.4,   0.99315
"DUMA13", 11, 1,    6587.18,   -4.4,    1.0372, 2,    6587.18, -124.4,    1.0372, 3,    6587.18,  115.6,    1.0372
"SSU_DUMA5_IM2", 11, 1,    6621.72,   -4.1,    1.0426, 2,    6621.72, -124.1,    1.0426, 3,    6621.72,  115.9,    1.0427
"PLNGI_B", 11, 1,    5920.38,   -7.2,   0.93222, 2,    5920.38, -127.2,   0.93222, 3,    5920.38,  112.8,   0.93222
"PLNGI_D", 11, 1,    5964.29,   -6.8,   0.93913, 2,    5964.29, -126.8,   0.93913, 3,    5964.29,  113.2,   0.93913
"PDTLITRAK", 11, 1,    6181.28,   -4.2,    0.9733, 2,    6181.28, -124.2,    0.9733, 3,    6181.28,  115.8,    0.9733
"DUMA12", 11, 1,    6323.13,   -2.8,   0.99564, 2,    6323.13, -122.8,   0.99564, 3,    6323.13,  117.2,   0.99564
"TMNGH4", 11, 1,    6460.93,   -2.3,    1.0173, 2,    6460.93, -122.3,    1.0173, 3,    6460.93,  117.7,    1.0173
"SSU_TMEGAH3_IR1", 11, 1,     6515.8,   -2.0,     1.026, 2,     6515.8, -122.0,     1.026, 3,     6515.8,  118.0,     1.026
"TMNGH2", 11, 1,    6538.68,   -2.0,    1.0296, 2,    6538.68, -122.0,    1.0296, 3,    6538.68,  118.0,    1.0296
"SPRK9", 11, 1,    6121.18,   -4.7,   0.96384, 2,    6121.18, -124.7,   0.96384, 3,    6121.18,  115.3,   0.96384
"BOMBA", 11, 1,    6138.45,   -4.6,   0.96655, 2,    6138.45, -124.6,   0.96655, 3,    6138.45,  115.4,   0.96655
"SPRK8", 11, 1,    6181.49,   -4.4,   0.97333, 2,    6181.49, -124.4,   0.97333, 3,    6181.49,  115.6,   0.97333
"SSU_UPTWRES_IM2", 11, 1,     5890.2,   -7.3,   0.92747, 2,     5890.2, -127.3,   0.92747, 3,     5890.2,  112.7,   0.92747
"MAYBANK", 11, 1,    5970.65,   -6.5,   0.94013, 2,    5970.65, -126.5,   0.94013, 3,    5970.65,  113.5,   0.94013
"DUMA8", 11, 1,    5986.07,   -6.5,   0.94256, 2,    5986.07, -126.5,   0.94256, 3,    5986.07,  113.5,   0.94256
"SSU_DSARCNTR_IR1", 11, 1,    5881.06,   -7.6,   0.92603, 2,    5881.06, -127.6,   0.92603, 3,    5881.06,  112.4,   0.92603
"DUMA9", 11, 1,    6075.56,   -5.4,   0.95665, 2,    6075.56, -125.4,   0.95665, 3,    6075.56,  114.6,   0.95665
"DUMA1", 11, 1,    6174.16,   -4.4,   0.97218, 2,    6174.16, -124.4,   0.97218, 3,    6174.16,  115.6,   0.97218
"ELITE", 11, 1,    6209.61,   -4.0,   0.97776, 2,    6209.61, -124.0,   0.97776, 3,    6209.61,  116.0,   0.97776
"DUMA10", 11, 1,     6024.5,   -6.1,   0.94861, 2,     6024.5, -126.1,   0.94861, 3,     6024.5,  113.9,   0.94861
