Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18721.5,   0.98262,    33.00, 1.18143E-005, 6.311E-008, 1.23938E-006, 6.62E-009, 3.71815E-006, 3.704E-008
"PPU_DUMA_11KV",    5837.75,   0.91921,    11.00, 1.22494E-005, 2.098E-007, 3.12706E-005, 5.357E-007, 9.38119E-005, 1.6E-007
"RPPLNGI2",    5969.71,   0.93999,    11.00, 1.22341E-005, 2.049E-007, 3.18694E-005, 5.339E-007, 9.56082E-005, 1.571E-007
"PDTJLNMASJID",     6069.7,   0.95573,    11.00, 1.22364E-005, 2.016E-007, 3.23317E-005, 5.327E-007, 9.69952E-005, 1.552E-007
"BELLA",    6136.87,   0.96631,    11.00, 1.22392E-005, 1.994E-007, 3.26418E-005, 5.319E-007, 9.79253E-005, 1.539E-007
"PSTPDGN",     6170.6,   0.97162,    11.00, 1.22409E-005, 1.984E-007, 3.27973E-005, 5.315E-007, 9.8392E-005, 1.533E-007
"PAMDRA",    5853.67,   0.92171,    11.00, 1.22447E-005, 2.092E-007, 3.1347E-005, 5.355E-007, 9.40411E-005, 1.596E-007
"DUMA4",    5906.88,   0.93009,    11.00, 1.22353E-005, 2.071E-007, 3.48899E-005, 5.907E-007, 0.00010467, 1.581E-007
"PLSDRA",    6022.42,   0.94829,    11.00, 1.22285E-005, 2.03E-007, 4.15042E-005, 6.892E-007, 0.000124513, 1.547E-007
"SSU_UPTWRES_IR1",    6038.72,   0.95085,    11.00, 1.2221E-005, 2.024E-007, 4.16008E-005, 6.889E-007, 0.000124802, 1.543E-007
"ATRIA_1",    6036.89,   0.95056,    11.00, 1.22521E-005, 2.03E-007, 3.21462E-005, 5.325E-007, 9.64385E-005, 1.559E-007
"HAWKER",    6069.48,    0.9557,    11.00, 1.21893E-005, 2.008E-007, 3.25657E-005, 5.365E-007, 9.76971E-005, 1.557E-007
"PRMTE",    5940.95,   0.93546,    11.00, 1.20879E-005, 2.035E-007, 3.72098E-005, 6.263E-007, 0.000111629, 1.562E-007
"PRMTA",    5959.62,    0.9384,    11.00, 1.20663E-005, 2.025E-007, 3.72979E-005, 6.258E-007, 0.000111894, 1.555E-007
"PMONTB",    5977.21,   0.94117,    11.00, 1.20615E-005, 2.018E-007, 3.81526E-005, 6.383E-007, 0.000114458, 1.549E-007
"DUMA7",    5889.56,   0.92737,    11.00, 1.40576E-005, 2.387E-007, 3.24473E-005, 5.509E-007, 9.7342E-005, 2.002E-007
"HAUS",    6001.75,   0.94503,    11.00, 1.69752E-005, 2.828E-007,  0.0002265, 3.774E-006, 0.000679499, 2.591E-007
"DUMA6",    6307.36,   0.99315,    11.00, 3.1627E-005, 5.014E-007, 0.000997564, 1.582E-005, 0.00299269, 4.479E-007
"DUMA13",    6587.18,    1.0372,    11.00, 4.93332E-005, 7.489E-007,  0.0018327, 2.782E-005,  0.0054981, 6.7E-007
"SSU_DUMA5_IM2",    6621.72,    1.0427,    11.00, 5.23487E-005, 7.906E-007, 0.00184286, 2.783E-005, 0.00552857, 7.047E-007
"PLNGI_B",    5920.38,   0.93222,    11.00, 1.22409E-005, 2.068E-007, 3.15935E-005, 5.336E-007, 9.47806E-005, 1.58E-007
"PLNGI_D",    5964.29,   0.93913,    11.00, 1.22422E-005, 2.053E-007, 3.17659E-005, 5.326E-007, 9.52977E-005, 1.57E-007
"PDTLITRAK",    6181.28,    0.9733,    11.00, 1.21949E-005, 1.973E-007, 3.34952E-005, 5.419E-007, 0.000100486, 1.531E-007
"DUMA12",    6323.13,   0.99564,    11.00, 1.21671E-005, 1.924E-007, 3.44356E-005, 5.446E-007, 0.000103307, 1.501E-007
"TMNGH4",    6460.93,    1.0173,    11.00, 1.21634E-005, 1.883E-007, 4.44595E-005, 6.881E-007, 0.000133379, 1.467E-007
"SSU_TMEGAH3_IR1",     6515.8,     1.026,    11.00, 1.21594E-005, 1.866E-007, 4.86092E-005, 7.46E-007, 0.000145827, 1.453E-007
"TMNGH2",    6538.68,    1.0296,    11.00, 1.2157E-005, 1.859E-007, 5.03902E-005, 7.706E-007, 0.000151171, 1.447E-007
"SPRK9",    6121.18,   0.96384,    11.00, 1.22371E-005, 1.999E-007, 3.26885E-005, 5.34E-007, 9.80654E-005, 1.544E-007
"BOMBA",    6138.45,   0.96655,    11.00, 1.22415E-005, 1.994E-007, 3.3544E-005, 5.465E-007, 0.000100632, 1.54E-007
"SPRK8",    6181.49,   0.97333,    11.00, 1.22511E-005, 1.982E-007, 3.57599E-005, 5.785E-007, 0.00010728, 1.53E-007
"SSU_UPTWRES_IM2",     5890.2,   0.92747,    11.00, 1.22103E-005, 2.073E-007, 3.39229E-005, 5.759E-007, 0.000101769, 1.585E-007
"MAYBANK",    5970.65,   0.94013,    11.00, 1.2189E-005, 2.041E-007, 3.42726E-005, 5.74E-007, 0.000102818, 1.564E-007
"DUMA8",    5986.07,   0.94256,    11.00, 1.21904E-005, 2.036E-007, 3.49689E-005, 5.842E-007, 0.000104907, 1.56E-007
"SSU_DSARCNTR_IR1",    5881.06,   0.92603,    11.00, 1.22469E-005, 2.082E-007, 3.14351E-005, 5.345E-007, 9.43053E-005, 1.589E-007
"DUMA9",    6075.56,   0.95665,    11.00, 1.22614E-005, 2.018E-007, 3.23795E-005, 5.329E-007, 9.71386E-005, 1.554E-007
