Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18958.7,    1.6,   0.99507, 2,    18958.7, -118.4,   0.99507, 3,    18958.7,  121.6,   0.99507
"PPU_DUMA_11KV", 11, 1,    5992.13,  -17.4,   0.94352, 2,    5992.13, -137.4,   0.94352, 3,    5992.13,  102.6,   0.94352
"RPPLNGI2", 11, 1,    6023.78,  -16.9,    0.9485, 2,    6023.78, -136.9,    0.9485, 3,    6023.78,  103.1,    0.9485
"PDTJLNMASJID", 11, 1,    6047.67,  -16.5,   0.95226, 2,    6047.67, -136.5,   0.95226, 3,    6047.67,  103.5,   0.95226
"BELLA", 11, 1,    6063.69,  -16.3,   0.95478, 2,    6063.69, -136.3,   0.95478, 3,    6063.69,  103.7,   0.95478
"PSTPDGN", 11, 1,    6071.72,  -16.1,   0.95605, 2,    6071.72, -136.1,   0.95605, 3,    6071.72,  103.9,   0.95605
"PAMDRA", 11, 1,    5997.37,  -17.4,   0.94434, 2,    5997.37, -137.4,   0.94434, 3,    5997.37,  102.6,   0.94434
"DUMA4", 11, 1,    6014.66,  -17.2,   0.94706, 2,    6014.66, -137.2,   0.94706, 3,    6014.66,  102.8,   0.94706
"PLSDRA", 11, 1,    6050.76,  -17.0,   0.95275, 2,    6050.76, -137.0,   0.95275, 3,    6050.76,  103.0,   0.95275
"SSU_UPTWRES_IR1", 11, 1,    6053.83,  -17.0,   0.95323, 2,    6053.83, -137.0,   0.95323, 3,    6053.83,  103.0,   0.95323
"ATRIA_1", 11, 1,     6054.5,  -16.7,   0.95334, 2,     6054.5, -136.7,   0.95334, 3,     6054.5,  103.3,   0.95334
"HAWKER", 11, 1,    6064.22,  -16.1,   0.95487, 2,    6064.22, -136.1,   0.95487, 3,    6064.22,  103.9,   0.95487
"PRMTE", 11, 1,    6000.16,  -17.0,   0.94478, 2,    6000.16, -137.0,   0.94478, 3,    6000.16,  103.0,   0.94478
"PRMTA", 11, 1,    6002.68,  -16.9,   0.94518, 2,    6002.68, -136.9,   0.94518, 3,    6002.68,  103.1,   0.94518
"PMONTB", 11, 1,    6007.49,  -16.8,   0.94593, 2,    6007.49, -136.8,   0.94593, 3,    6007.49,  103.2,   0.94593
