Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    19116.2,    1.0,    1.0033, 2,    19116.2, -119.0,    1.0033, 3,    19116.2,  121.0,    1.0033
"PPU_DUMA_11KV_A", 11, 1,    6379.69,  -27.0,    1.0045, 2,    6379.69, -147.0,    1.0045, 3,    6379.69,   93.0,    1.0045
"PPU_DUMA_11KV_B", 11, 1,     6379.1,  -26.1,    1.0044, 2,     6379.1, -146.1,    1.0044, 3,     6379.1,   93.9,    1.0044
"RPPLNGI2", 11, 1,    6412.02,  -25.8,    1.0096, 2,    6412.02, -145.8,    1.0096, 3,    6412.02,   94.2,    1.0096
"PDTJLNMASJID", 11, 1,    6436.74,  -25.6,    1.0135, 2,    6436.74, -145.6,    1.0135, 3,    6436.74,   94.4,    1.0135
"BELLA", 11, 1,    6453.23,  -25.5,    1.0161, 2,    6453.23, -145.5,    1.0161, 3,    6453.23,   94.5,    1.0161
"PSTPDGN", 11, 1,    6461.48,  -25.4,    1.0174, 2,    6461.48, -145.4,    1.0174, 3,    6461.48,   94.6,    1.0174
"ATRIA_1", 11, 1,    6423.67,  -25.7,    1.0115, 2,    6423.67, -145.7,    1.0115, 3,    6423.67,   94.3,    1.0115
"HAWKER", 11, 1,    6431.37,  -25.4,    1.0127, 2,    6431.37, -145.4,    1.0127, 3,    6431.37,   94.6,    1.0127
"DUMA7", 11, 1,    6391.38,  -26.0,    1.0064, 2,    6391.38, -146.0,    1.0064, 3,    6391.38,   94.0,    1.0064
"HAUS", 11, 1,    6415.95,  -25.9,    1.0102, 2,    6415.95, -145.9,    1.0102, 3,    6415.95,   94.1,    1.0102
"DUMA6", 11, 1,    6483.24,  -25.7,    1.0208, 2,    6483.24, -145.7,    1.0208, 3,    6483.24,   94.3,    1.0208
"DUMA13", 11, 1,    6544.28,  -25.4,    1.0305, 2,    6544.28, -145.4,    1.0305, 3,    6544.28,   94.6,    1.0305
"SSU_DUMA5_IM2", 11, 1,    6552.42,  -25.4,    1.0317, 2,    6552.42, -145.4,    1.0317, 3,    6552.42,   94.6,    1.0317
"PDTLITRAK", 11, 1,    6460.16,  -25.4,    1.0172, 2,    6460.16, -145.4,    1.0172, 3,    6460.16,   94.6,    1.0172
"DUMA12", 11, 1,    6492.74,  -25.1,    1.0223, 2,    6492.74, -145.1,    1.0223, 3,    6492.74,   94.9,    1.0223
"TMNGH4", 11, 1,    6523.34,  -25.0,    1.0272, 2,    6523.34, -145.0,    1.0272, 3,    6523.34,   95.0,    1.0272
"SSU_TMEGAH3_IR1", 11, 1,    6535.58,  -25.0,    1.0291, 2,    6535.58, -145.0,    1.0291, 3,    6535.58,   95.0,    1.0291
"TMNGH2", 11, 1,    6540.88,  -25.0,    1.0299, 2,    6540.88, -145.0,    1.0299, 3,    6540.88,   95.0,    1.0299
"SSU_UPTWRES_IM2", 11, 1,    6391.56,  -26.0,    1.0064, 2,    6391.56, -146.0,    1.0064, 3,    6391.56,   94.0,    1.0064
"MAYBANK", 11, 1,    6408.18,  -25.8,     1.009, 2,    6408.18, -145.8,     1.009, 3,    6408.18,   94.2,     1.009
"DUMA8", 11, 1,     6411.3,  -25.8,    1.0095, 2,     6411.3, -145.8,    1.0095, 3,     6411.3,   94.2,    1.0095
"DUMA9", 11, 1,    6435.77,  -25.6,    1.0134, 2,    6435.77, -145.6,    1.0134, 3,    6435.77,   94.4,    1.0134
"DUMA1", 11, 1,    6458.83,  -25.4,     1.017, 2,    6458.83, -145.4,     1.017, 3,    6458.83,   94.6,     1.017
"ELITE", 11, 1,    6467.07,  -25.3,    1.0183, 2,    6467.07, -145.3,    1.0183, 3,    6467.07,   94.7,    1.0183
"PAMDRA", 11, 1,    6383.01,  -27.0,    1.0051, 2,    6383.01, -147.0,    1.0051, 3,    6383.01,   93.0,    1.0051
"DUMA4", 11, 1,    6394.23,  -26.9,    1.0068, 2,    6394.23, -146.9,    1.0068, 3,    6394.23,   93.1,    1.0068
"PLSDRA", 11, 1,    6419.13,  -26.8,    1.0108, 2,    6419.13, -146.8,    1.0108, 3,    6419.13,   93.2,    1.0108
"PRMTE", 11, 1,    6409.51,  -26.7,    1.0092, 2,    6409.51, -146.7,    1.0092, 3,    6409.51,   93.3,    1.0092
"PRMTA", 11, 1,     6414.5,  -26.7,      1.01, 2,     6414.5, -146.7,      1.01, 3,     6414.5,   93.3,      1.01
"PMONTB", 11, 1,    6418.45,  -26.6,    1.0106, 2,    6418.45, -146.6,    1.0106, 3,    6418.45,   93.4,    1.0106
"PLNGI_B", 11, 1,    6396.32,  -26.9,    1.0072, 2,    6396.32, -146.9,    1.0072, 3,    6396.32,   93.1,    1.0072
"PLNGI_D", 11, 1,    6404.65,  -26.8,    1.0085, 2,    6404.65, -146.8,    1.0085, 3,    6404.65,   93.2,    1.0085
"SPRK9", 11, 1,    6453.59,  -26.4,    1.0162, 2,    6453.59, -146.4,    1.0162, 3,    6453.59,   93.6,    1.0162
"BOMBA", 11, 1,    6457.72,  -26.4,    1.0168, 2,    6457.72, -146.4,    1.0168, 3,    6457.72,   93.6,    1.0168
"SPRK8", 11, 1,    6468.03,  -26.3,    1.0184, 2,    6468.03, -146.3,    1.0184, 3,    6468.03,   93.7,    1.0184
"SSU_DSARCNTR_IR1", 11, 1,    6388.03,  -26.9,    1.0059, 2,    6388.03, -146.9,    1.0059, 3,    6388.03,   93.1,    1.0059
"DUMA10", 11, 1,    6419.46,  -26.7,    1.0108, 2,    6419.46, -146.7,    1.0108, 3,    6419.46,   93.3,    1.0108
"BALAIPOLIS", 11, 1,    6419.87,  -26.7,    1.0109, 2,    6419.87, -146.7,    1.0109, 3,    6419.87,   93.3,    1.0109
"SSU_UPTWRES_IR1", 11, 1,    6423.28,  -26.8,    1.0114, 2,    6423.28, -146.8,    1.0114, 3,    6423.28,   93.2,    1.0114
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
