Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18917.1,   0.99289,    33.00, 9.25595E-006, 4.893E-008, 1.23939E-006, 6.552E-009, 3.71815E-006, 6.554E-009
"PPU_DUMA_11KV",    6373.51,   0.97408,    11.33, 3.31259E-006, 5.197E-008, 1.35728E-008, 2.13E-010, 4.07202E-008, 6.684E-009
"RPPLNGI2",    6342.25,    0.9693,    11.33, 3.29848E-006, 5.201E-008, 1.41079E-008, 2.224E-010, 4.23257E-008, 6.718E-009
"PDTJLNMASJID",    6318.78,   0.96571,    11.33, 3.28789E-006, 5.203E-008, 1.46401E-008, 2.317E-010, 4.39223E-008, 6.744E-009
"BELLA",    6303.11,   0.96332,    11.33, 3.28082E-006, 5.205E-008, 1.5052E-008, 2.388E-010, 4.51577E-008, 6.761E-009
"PSTPDGN",    6295.28,   0.96212,    11.33, 3.27728E-006, 5.206E-008, 1.52729E-008, 2.426E-010, 4.58207E-008, 6.769E-009
"PAMDRA",     6372.3,   0.97389,    11.33, 3.31205E-006, 5.198E-008, 1.35797E-008, 2.131E-010, 4.07412E-008, 6.686E-009
"DUMA4",    6367.85,   0.97322,    11.33, 3.31005E-006, 5.198E-008, 1.40659E-008, 2.209E-010, 4.22003E-008, 6.691E-009
"PLSDRA",    6355.76,   0.97137,    11.33, 3.30461E-006, 5.199E-008, 1.90796E-008, 3.002E-010, 5.72409E-008, 6.704E-009
"SSU_UPTWRES_IR1",    6350.97,   0.97063,    11.33, 3.30245E-006, 5.2E-008, 1.93116E-008, 3.041E-010, 5.7937E-008, 6.709E-009
"ATRIA_1",    6350.25,   0.97052,    11.33, 3.30209E-006, 5.2E-008, 1.38424E-008, 2.18E-010, 4.15294E-008, 6.709E-009
"HAWKER",    6345.32,   0.96977,    11.33, 3.29986E-006, 5.2E-008, 1.49674E-008, 2.359E-010, 4.4905E-008, 6.715E-009
"PRMTE",    6325.64,   0.96676,    11.33, 3.2911E-006, 5.203E-008, 3.4165E-008, 5.401E-010, 1.02498E-007, 6.738E-009
