Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18905.7,   0.99229,    33.00, 9.25271E-006, 4.894E-008, 1.23939E-006, 6.556E-009, 3.71816E-006, 6.559E-009
"PPU_DUMA_11KV",    6366.31,   0.97298,    11.33, 3.30948E-006, 5.198E-008, 1.60346E-008, 2.519E-010, 4.81055E-008, 6.694E-009
"RPPLNGI2",    6331.59,   0.96767,    11.33, 3.29381E-006, 5.202E-008, 1.65695E-008, 2.617E-010, 4.97111E-008, 6.731E-009
"PDTJLNMASJID",    6305.51,   0.96369,    11.33, 3.28204E-006, 5.205E-008, 1.71177E-008, 2.715E-010, 5.13555E-008, 6.76E-009
"BELLA",    6288.11,   0.96103,    11.33, 3.27419E-006, 5.207E-008, 1.75473E-008, 2.791E-010, 5.26443E-008, 6.779E-009
"PSTPDGN",    6279.41,    0.9597,    11.33, 3.27026E-006, 5.208E-008, 1.77799E-008, 2.831E-010, 5.33425E-008, 6.789E-009
"PAMDRA",    6364.76,   0.97274,    11.33, 3.30878E-006, 5.199E-008, 1.60512E-008, 2.522E-010, 4.81559E-008, 6.696E-009
"DUMA4",    6359.18,   0.97189,    11.33, 3.30627E-006, 5.199E-008, 1.69434E-008, 2.664E-010, 5.08325E-008, 6.702E-009
"PLSDRA",    6344.54,   0.96965,    11.33, 3.29969E-006, 5.201E-008, 2.30043E-008, 3.626E-010, 6.90159E-008, 6.718E-009
"SSU_UPTWRES_IR1",    6339.31,   0.96885,    11.33, 3.29734E-006, 5.201E-008, 2.32534E-008, 3.668E-010, 6.97625E-008, 6.724E-009
"ATRIA_1",    6338.46,   0.96872,    11.33, 3.2969E-006, 5.201E-008, 1.64139E-008, 2.59E-010, 4.92434E-008, 6.724E-009
"HAWKER",    6332.73,   0.96785,    11.33, 3.29432E-006, 5.202E-008, 1.81404E-008, 2.865E-010, 5.4423E-008, 6.73E-009
"PRMTE",     6315.3,   0.96518,    11.33, 3.2866E-006, 5.204E-008, 3.69099E-008, 5.845E-010, 1.10732E-007, 6.751E-009
"PRMTA",    6307.91,   0.96405,    11.33, 3.28329E-006, 5.205E-008, 3.73211E-008, 5.917E-010, 1.11966E-007, 6.76E-009
"PMONTB",    6304.65,   0.96356,    11.33, 3.28183E-006, 5.205E-008, 3.95073E-008, 6.266E-010, 1.18524E-007, 6.764E-009
"DUMA7",    6358.91,   0.97185,    11.33, 3.30614E-006, 5.199E-008, 1.61215E-008, 2.535E-010, 4.83661E-008, 6.702E-009
"HAUS",    6352.16,   0.97082,    11.33, 3.3031E-006, 5.2E-008, 1.70641E-008, 2.686E-010, 5.11951E-008, 6.709E-009
"DUMA6",    6339.31,   0.96885,    11.33, 3.29732E-006, 5.201E-008, 2.19965E-008, 3.47E-010, 6.59916E-008, 6.724E-009
"DUMA13",    6338.08,   0.96866,    11.33, 3.29677E-006, 5.202E-008, 2.20606E-008, 3.481E-010, 6.6184E-008, 6.725E-009
"SSU_DUMA5_IM2",     6338.5,   0.96873,    11.33, 3.29696E-006, 5.201E-008, 2.20283E-008, 3.475E-010, 6.60877E-008, 6.725E-009
"PLNGI_B",    6361.17,   0.97219,    11.33, 3.30716E-006, 5.199E-008, 1.60794E-008, 2.528E-010, 4.82399E-008, 6.699E-009
"PLNGI_D",    6360.97,   0.97216,    11.33, 3.30707E-006, 5.199E-008, 1.6068E-008, 2.526E-010, 4.82058E-008, 6.7E-009
"PDTLITRAK",    6320.09,   0.96592,    11.33, 3.28867E-006, 5.204E-008, 1.67413E-008, 2.649E-010, 5.02256E-008, 6.745E-009
"DUMA12",    6301.39,   0.96306,    11.33, 3.28025E-006, 5.206E-008, 1.71382E-008, 2.72E-010, 5.14169E-008, 6.766E-009
