Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19068.6,    1.0008,    33.00, 9.31429E-006, 4.885E-008, 1.23939E-006, 6.5E-009, 3.71815E-006, 6.5E-009
"PPU_DUMA_11KV",    6551.27,    1.0012,    11.33, 3.39273E-006, 5.179E-008, 5.23729E-009, 7.994E-011, 1.57104E-008, 6.498E-009
"RPPLNGI2",    6557.77,    1.0022,    11.33, 3.39567E-006, 5.178E-008, 5.3561E-009, 8.168E-011, 1.60674E-008, 6.491E-009
"PDTJLNMASJID",    6562.64,     1.003,    11.33, 3.39788E-006, 5.178E-008, 5.47057E-009, 8.336E-011, 1.64111E-008, 6.486E-009
"BELLA",    6565.89,    1.0035,    11.33, 3.39936E-006, 5.177E-008, 5.56039E-009, 8.469E-011, 1.66786E-008, 6.483E-009
"PSTPDGN",    6567.52,    1.0037,    11.33, 3.40009E-006, 5.177E-008, 5.60806E-009, 8.539E-011, 1.68229E-008, 6.482E-009
"PAMDRA",    6551.93,    1.0013,    11.33, 3.39303E-006, 5.179E-008, 5.2468E-009, 8.008E-011, 1.57409E-008, 6.497E-009
"DUMA4",    6554.12,    1.0017,    11.33, 3.39402E-006, 5.178E-008, 5.7847E-009, 8.826E-011, 1.73515E-008, 6.495E-009
"PLSDRA",       6559,    1.0024,    11.33, 3.39623E-006, 5.178E-008, 8.14824E-009, 1.242E-010, 2.44425E-008, 6.49E-009
"SSU_UPTWRES_IR1",    6559.81,    1.0026,    11.33, 3.3966E-006, 5.178E-008, 8.19993E-009, 1.25E-010, 2.45978E-008, 6.489E-009
"ATRIA_1",    6560.05,    1.0026,    11.33, 3.39671E-006, 5.178E-008, 5.40644E-009, 8.241E-011, 1.62169E-008, 6.489E-009
"HAWKER",    6561.58,    1.0028,    11.33, 3.3974E-006, 5.178E-008, 6.74555E-009, 1.028E-010, 2.02349E-008, 6.487E-009
"PRMTE",    6557.13,    1.0021,    11.33, 3.39539E-006, 5.178E-008, 7.40168E-009, 1.129E-010, 2.22034E-008, 6.492E-009
"PRMTA",    6558.11,    1.0023,    11.33, 3.39583E-006, 5.178E-008, 7.45855E-009, 1.137E-010, 2.23731E-008, 6.491E-009
"PMONTB",    6558.88,    1.0024,    11.33, 3.39618E-006, 5.178E-008, 7.88869E-009, 1.203E-010, 2.36635E-008, 6.49E-009
"DUMA7",    6553.71,    1.0016,    11.33, 3.39384E-006, 5.178E-008, 5.27705E-009, 8.052E-011, 1.58307E-008, 6.495E-009
"HAUS",    6558.58,    1.0024,    11.33, 3.39605E-006, 5.178E-008, 6.74701E-009, 1.029E-010, 2.02385E-008, 6.491E-009
"DUMA6",    6571.95,    1.0044,    11.33, 3.40215E-006, 5.177E-008, 1.54541E-008, 2.352E-010, 4.63595E-008, 6.478E-009
"DUMA13",     6584.1,    1.0063,    11.33, 3.4077E-006, 5.176E-008, 2.44527E-008, 3.714E-010, 7.3355E-008, 6.467E-009
"SSU_DUMA5_IM2",    6585.72,    1.0065,    11.33, 3.40844E-006, 5.176E-008, 2.4571E-008, 3.731E-010, 7.37109E-008, 6.465E-009
"PLNGI_B",    6554.53,    1.0017,    11.33, 3.39421E-006, 5.178E-008, 5.28991E-009, 8.071E-011, 1.58695E-008, 6.494E-009
"PLNGI_D",    6556.16,     1.002,    11.33, 3.39494E-006, 5.178E-008, 5.32116E-009, 8.116E-011, 1.59624E-008, 6.493E-009
"PDTLITRAK",    6567.47,    1.0037,    11.33, 3.40007E-006, 5.177E-008, 5.60982E-009, 8.542E-011, 1.6828E-008, 6.482E-009
"DUMA12",    6573.95,    1.0047,    11.33, 3.40302E-006, 5.177E-008, 5.82084E-009, 8.854E-011, 1.74619E-008, 6.475E-009
"TMNGH4",    6580.03,    1.0056,    11.33, 3.40578E-006, 5.176E-008, 8.6272E-009, 1.311E-010, 2.58787E-008, 6.47E-009
