Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22589,      10470,      19563
PPU_DUMA_11KV,      21040,      23423,      18220
RPPLNGI2    ,      12886,      14782,      11159
PDTJLNMASJID,       9077,      10373,       7860
BELLA       ,       6960,       7906,       6027
PSTPDGN     ,       5624,       6357,       4870
PAMDRA      ,      19874,      22296,      17211
DUMA4       ,      16446,      11421,      14242
PLSDRA      ,      10720,       4056,       9283
SSU_UPTWRES_IR1,       9058,       3826,       7844
ATRIA_1     ,       7467,       8503,       6467
HAWKER      ,       4365,       3561,       3780
PRMTE       ,      11226,       6122,       9722
PRMTA       ,      10125,       5794,       8768
PMONTB      ,       9176,       4466,       7947
DUMA7       ,      17834,      20223,      15444
HAUS        ,      14215,       8793,      12310
DUMA6       ,       7346,       2467,       6362
DUMA13      ,       4278,       1245,       3705
SSU_DUMA5_IM2,       3737,       1203,       3236
PLNGI_B     ,      12834,      14727,      11114
PLNGI_D     ,       9026,      10324,       7816
PDTLITRAK   ,       9094,      10393,       7875
DUMA12      ,       6988,       7936,       6051
TMNGH4      ,       5807,       4030,       5029
SSU_TMEGAH3_IR1,       5250,       3056,       4546
TMNGH2      ,       4836,       2512,       4188
SPRK9       ,       6976,       7921,       6041
BOMBA       ,       6708,       6727,       5809
SPRK8       ,       5583,       3586,       4835
SSU_UPTWRES_IM2,      15543,      11565,      13460
MAYBANK     ,      10399,       8495,       9006
DUMA8       ,       9595,       6399,       8309
SSU_DSARCNTR_IR1,      12820,      14712,      11102
DUMA9       ,       8318,       9490,       7203
DUMA1       ,       5978,       6766,       5177
ELITE       ,       4964,       5595,       4299
DUMA10      ,       8070,       9206,       6988
BALAIPOLIS  ,       7962,       9080,       6895
SSU_DUMA5_M11KV,          0,          0,          0
