Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    19056.8,    1.0002,    33.00, 9.31163E-006, 4.886E-008, 1.23939E-006, 6.504E-009, 3.71816E-006, 6.504E-009
"PPU_DUMA_11KV",     6545.4,    1.0004,    11.33, 3.39003E-006, 5.179E-008, 1.32208E-009, 2.02E-011, 3.96451E-009, 6.503E-009
"RPPLNGI2",    6547.03,    1.0006,    11.33, 3.39077E-006, 5.179E-008, 1.35284E-009, 2.066E-011, 4.0566E-009, 6.501E-009
"PDTJLNMASJID",    6548.26,    1.0008,    11.33, 3.39133E-006, 5.179E-008, 1.38133E-009, 2.109E-011, 4.14283E-009, 6.5E-009
"BELLA",    6549.07,    1.0009,    11.33, 3.39169E-006, 5.179E-008, 1.40323E-009, 2.143E-011, 4.20813E-009, 6.499E-009
"PSTPDGN",    6549.48,     1.001,    11.33, 3.39188E-006, 5.179E-008, 1.41574E-009, 2.162E-011, 4.24544E-009, 6.499E-009
"PAMDRA",    6545.57,    1.0004,    11.33, 3.39011E-006, 5.179E-008, 1.32542E-009, 2.025E-011, 3.975E-009, 6.503E-009
"DUMA4",    6546.12,    1.0005,    11.33, 3.39036E-006, 5.179E-008, 1.47011E-009, 2.246E-011, 4.40745E-009, 6.502E-009
"PLSDRA",    6547.34,    1.0006,    11.33, 3.39091E-006, 5.179E-008, 2.05999E-009, 3.146E-011, 6.17751E-009, 6.501E-009
"SSU_UPTWRES_IR1",    6547.54,    1.0007,    11.33, 3.391E-006, 5.179E-008, 2.07284E-009, 3.166E-011, 6.21546E-009, 6.501E-009
"ATRIA_1",    6547.61,    1.0007,    11.33, 3.39103E-006, 5.179E-008, 1.3646E-009, 2.084E-011, 4.09207E-009, 6.501E-009
"HAWKER",    6547.99,    1.0007,    11.33, 3.39121E-006, 5.179E-008, 1.70235E-009, 2.6E-011, 5.10649E-009, 6.5E-009
"PRMTE",    6546.87,    1.0006,    11.33, 3.3907E-006, 5.179E-008, 1.82199E-009, 2.783E-011, 5.4638E-009, 6.501E-009
"PRMTA",    6547.12,    1.0006,    11.33, 3.39081E-006, 5.179E-008, 1.8362E-009, 2.805E-011, 5.50654E-009, 6.501E-009
"PMONTB",    6547.31,    1.0006,    11.33, 3.39089E-006, 5.179E-008, 1.93924E-009, 2.962E-011, 5.81467E-009, 6.501E-009
"DUMA7",    6546.02,    1.0004,    11.33, 3.39031E-006, 5.179E-008, 1.33255E-009, 2.036E-011, 3.99685E-009, 6.502E-009
"HAUS",    6547.24,    1.0006,    11.33, 3.39087E-006, 5.179E-008, 1.70121E-009, 2.598E-011, 5.10106E-009, 6.501E-009
"DUMA6",     6550.6,    1.0011,    11.33, 3.39239E-006, 5.179E-008, 3.91169E-009, 5.971E-011, 1.17324E-008, 6.498E-009
"DUMA13",    6553.66,    1.0016,    11.33, 3.39378E-006, 5.178E-008, 6.19793E-009, 9.457E-011, 1.85914E-008, 6.495E-009
"SSU_DUMA5_IM2",    6554.06,    1.0017,    11.33, 3.39396E-006, 5.178E-008, 6.22822E-009, 9.503E-011, 1.86821E-008, 6.494E-009
"PLNGI_B",    6546.22,    1.0005,    11.33, 3.3904E-006, 5.179E-008, 1.33476E-009, 2.039E-011, 4.00371E-009, 6.502E-009
"PLNGI_D",    6546.63,    1.0005,    11.33, 3.39059E-006, 5.179E-008, 1.34236E-009, 2.05E-011, 4.02669E-009, 6.502E-009
"PDTLITRAK",    6549.48,     1.001,    11.33, 3.39188E-006, 5.179E-008, 1.41622E-009, 2.162E-011, 4.24769E-009, 6.499E-009
"DUMA12",    6551.11,    1.0012,    11.33, 3.39261E-006, 5.179E-008, 1.46981E-009, 2.244E-011, 4.40812E-009, 6.497E-009
"TMNGH4",    6552.64,    1.0015,    11.33, 3.3933E-006, 5.179E-008, 2.18618E-009, 3.336E-011, 6.55649E-009, 6.496E-009
"SSU_TMEGAH3_IR1",    6553.25,    1.0015,    11.33, 3.39358E-006, 5.178E-008, 2.57171E-009, 3.924E-011, 7.71296E-009, 6.495E-009
"TMNGH2",    6553.51,    1.0016,    11.33, 3.3937E-006, 5.178E-008, 2.74506E-009, 4.189E-011, 8.23285E-009, 6.495E-009
"SPRK9",    6549.07,    1.0009,    11.33, 3.3917E-006, 5.179E-008, 1.40071E-009, 2.139E-011, 4.19991E-009, 6.499E-009
"BOMBA",    6549.28,    1.0009,    11.33, 3.39179E-006, 5.179E-008, 1.44307E-009, 2.203E-011, 4.32758E-009, 6.499E-009
"SPRK8",    6549.79,     1.001,    11.33, 3.39202E-006, 5.179E-008, 1.61864E-009, 2.471E-011, 4.85407E-009, 6.499E-009
"SSU_UPTWRES_IM2",    6546.01,    1.0004,    11.33, 3.39031E-006, 5.179E-008, 1.45575E-009, 2.224E-011, 4.36547E-009, 6.502E-009
"MAYBANK",    6546.83,    1.0006,    11.33, 3.39068E-006, 5.179E-008, 1.48967E-009, 2.275E-011, 4.46709E-009, 6.502E-009
"DUMA8",    6546.98,    1.0006,    11.33, 3.39075E-006, 5.179E-008, 1.54571E-009, 2.361E-011, 4.63517E-009, 6.501E-009
"SSU_DSARCNTR_IR1",    6545.81,    1.0004,    11.33, 3.39022E-006, 5.179E-008, 1.32811E-009, 2.029E-011, 3.98393E-009, 6.503E-009
"DUMA9",    6548.22,    1.0008,    11.33, 3.39131E-006, 5.179E-008, 1.38044E-009, 2.108E-011, 4.13917E-009, 6.5E-009
"DUMA1",    6549.36,     1.001,    11.33, 3.39183E-006, 5.179E-008, 1.4114E-009, 2.155E-011, 4.23262E-009, 6.499E-009
"ELITE",    6549.77,     1.001,    11.33, 3.39201E-006, 5.179E-008, 1.42425E-009, 2.174E-011, 4.27093E-009, 6.499E-009
"DUMA10",    6547.36,    1.0006,    11.33, 3.39095E-006, 5.179E-008, 1.34555E-009, 2.055E-011, 4.03617E-009, 6.502E-009
"BALAIPOLIS",    6547.38,    1.0007,    11.33, 3.39096E-006, 5.179E-008, 1.34603E-009, 2.056E-011, 4.03604E-009, 6.502E-009
