Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22528,      10457,      19510
PPU_DUMA_11KV,      20960,      23346,      18151
RPPLNGI2    ,      12866,      14772,      11141
PDTJLNMASJID,       9057,      10361,       7844
BELLA       ,       6941,       7891,       6011
PSTPDGN     ,       5608,       6343,       4857
PAMDRA      ,      19811,      22238,      17156
DUMA4       ,      16425,      11425,      14223
PLSDRA      ,      10724,       4017,       9286
SSU_UPTWRES_IR1,       9058,       3790,       7844
ATRIA_1     ,       7457,       8498,       6458
HAWKER      ,       4353,       3551,       3770
PRMTE       ,      11210,       6082,       9708
PRMTA       ,      10111,       5756,       8756
PMONTB      ,       9168,       4434,       7939
DUMA7       ,      17790,      20187,      15406
HAUS        ,      14202,       8763,      12298
DUMA6       ,       7325,       2403,       6344
DUMA13      ,       4252,       1192,       3682
SSU_DUMA5_IM2,       3713,       1153,       3215
PLNGI_B     ,      12827,      14732,      11108
PLNGI_D     ,       9023,      10330,       7814
PDTLITRAK   ,       9062,      10366,       7847
DUMA12      ,       6953,       7904,       6021
TMNGH4      ,       5773,       3989,       5000
SSU_TMEGAH3_IR1,       5218,       3015,       4519
TMNGH2      ,       4807,       2477,       4163
SPRK9       ,       6955,       7904,       6023
BOMBA       ,       6688,       6712,       5792
SPRK8       ,       5567,       3570,       4821
SSU_UPTWRES_IM2,      15517,      11569,      13437
MAYBANK     ,      10390,       8487,       8998
DUMA8       ,       9590,       6388,       8305
SSU_DSARCNTR_IR1,      12819,      14724,      11101
DUMA9       ,       8300,       9479,       7188
DUMA1       ,       5959,       6751,       5161
ELITE       ,       4948,       5580,       4285
DUMA10      ,       8061,       9203,       6981
BALAIPOLIS  ,       7953,       9078,       6887
SSU_DUMA5_M11KV,          0,          0,          0
