Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22657,      10485,      19621
PPU_DUMA_11KV,      21137,      23518,      18304
RPPLNGI2    ,      12917,      14804,      11186
PDTJLNMASJID,       9103,      10394,       7883
BELLA       ,       6983,       7926,       6048
PSTPDGN     ,       5644,       6375,       4888
PAMDRA      ,      19953,      22371,      17279
DUMA4       ,      16480,      11425,      14272
PLSDRA      ,      10724,       4096,       9287
SSU_UPTWRES_IR1,       9065,       3864,       7851
ATRIA_1     ,       7483,       8514,       6480
HAWKER      ,       4379,       3573,       3793
PRMTE       ,      11251,       6165,       9743
PRMTA       ,      10147,       5836,       8787
PMONTB      ,       9192,       4500,       7960
DUMA7       ,      17893,      20275,      15495
HAUS        ,      14240,       8825,      12331
DUMA6       ,       7373,       2530,       6385
DUMA13      ,       4306,       1297,       3729
SSU_DUMA5_IM2,       3763,       1253,       3259
PLNGI_B     ,      12852,      14734,      11130
PLNGI_D     ,       9035,      10325,       7824
PDTLITRAK   ,       9133,      10428,       7909
DUMA12      ,       7028,       7974,       6086
TMNGH4      ,       5846,       4074,       5063
SSU_TMEGAH3_IR1,       5286,       3099,       4577
TMNGH2      ,       4869,       2549,       4216
SPRK9       ,       7001,       7943,       6063
BOMBA       ,       6733,       6747,       5831
SPRK8       ,       5603,       3605,       4852
SSU_UPTWRES_IM2,      15582,      11569,      13494
MAYBANK     ,      10416,       8509,       9020
DUMA8       ,       9608,       6413,       8320
SSU_DSARCNTR_IR1,      12831,      14710,      11111
DUMA9       ,       8341,       9509,       7223
DUMA1       ,       6000,       6787,       5196
ELITE       ,       4984,       5614,       4316
DUMA10      ,       8085,       9216,       7001
BALAIPOLIS  ,       7977,       9090,       6908
SSU_DUMA5_M11KV,          0,          0,          0
