Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22645,      10577,      19610
PPU_DUMA_11KV,      21136,      23601,      18304
RPPLNGI2    ,      13154,      15137,      11391
PDTJLNMASJID,       9329,      10698,       8079
BELLA       ,       7184,       8187,       6222
PSTPDGN     ,       5825,       6603,       5044
PAMDRA      ,      20020,      22525,      17337
DUMA4       ,      16709,      11802,      14470
PLSDRA      ,      11036,       4161,       9557
SSU_UPTWRES_IR1,       9340,       3929,       8088
ATRIA_1     ,       7698,       8789,       6666
HAWKER      ,       4514,       3689,       3909
PRMTE       ,      11469,       6169,       9932
PRMTA       ,      10368,       5849,       8979
PMONTB      ,       9428,       4523,       8165
DUMA7       ,      18046,      20521,      15628
HAUS        ,      14542,       9125,      12593
DUMA6       ,       7628,       2573,       6606
DUMA13      ,       4470,       1325,       3871
SSU_DUMA5_IM2,       3906,       1281,       3383
PLNGI_B     ,      13120,      15098,      11362
PLNGI_D     ,       9287,      10649,       8042
PDTLITRAK   ,       9364,      10736,       8109
DUMA12      ,       7226,       8233,       6258
TMNGH4      ,       6029,       4195,       5221
SSU_TMEGAH3_IR1,       5459,       3177,       4728
TMNGH2      ,       5035,       2608,       4360
SPRK9       ,       7190,       8193,       6226
BOMBA       ,       6920,       6974,       5993
SPRK8       ,       5783,       3725,       5008
SSU_UPTWRES_IM2,      15783,      11900,      13668
MAYBANK     ,      10672,       8769,       9242
DUMA8       ,       9868,       6622,       8546
SSU_DSARCNTR_IR1,      13103,      15078,      11347
DUMA9       ,       8562,       9800,       7415
DUMA1       ,       6181,       7017,       5352
ELITE       ,       5145,       5814,       4455
DUMA10      ,       8313,       9509,       7199
BALAIPOLIS  ,       8203,       9381,       7104
