Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22525,      10549,      19507
PPU_DUMA_11KV,      20960,      23422,      18151
RPPLNGI2    ,      13102,      15103,      11346
PDTJLNMASJID,       9282,      10662,       8038
BELLA       ,       7139,       8148,       6182
PSTPDGN     ,       5785,       6567,       5010
PAMDRA      ,      19878,      22385,      17214
DUMA4       ,      16655,      11802,      14423
PLSDRA      ,      11038,       4074,       9559
SSU_UPTWRES_IR1,       9333,       3847,       8082
ATRIA_1     ,       7669,       8770,       6642
HAWKER      ,       4483,       3662,       3882
PRMTE       ,      11426,       6073,       9895
PRMTA       ,      10330,       5758,       8946
PMONTB      ,       9402,       4447,       8142
DUMA7       ,      17943,      20428,      15538
HAUS        ,      14506,       9054,      12562
DUMA6       ,       7580,       2436,       6564
DUMA13      ,       4412,       1215,       3821
SSU_DUMA5_IM2,       3852,       1176,       3336
PLNGI_B     ,      13095,      15095,      11340
PLNGI_D     ,       9274,      10652,       8031
PDTLITRAK   ,       9289,      10669,       8044
DUMA12      ,       7147,       8157,       6189
TMNGH4      ,       5952,       4102,       5154
SSU_TMEGAH3_IR1,       5387,       3085,       4665
TMNGH2      ,       4970,       2529,       4304
SPRK9       ,       7140,       8149,       6183
BOMBA       ,       6871,       6935,       5950
SPRK8       ,       5744,       3686,       4974
SSU_UPTWRES_IM2,      15718,      11901,      13612
MAYBANK     ,      10645,       8745,       9218
DUMA8       ,       9849,       6592,       8530
SSU_DSARCNTR_IR1,      13092,      15092,      11338
DUMA9       ,       8519,       9766,       7377
DUMA1       ,       6136,       6976,       5314
ELITE       ,       5105,       5777,       4421
DUMA10      ,       8287,       9494,       7176
BALAIPOLIS  ,       8177,       9365,       7081
