Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
"PPU_DUMA_33KV",    18922.5,   0.99317,    33.00, 9.25744E-006, 4.892E-008, 1.23939E-006, 6.55E-009, 3.71815E-006, 6.552E-009
"PPU_DUMA_11KV",    6376.89,    0.9746,    11.33, 3.31406E-006, 5.197E-008, 1.24066E-008, 1.946E-010, 3.72223E-008, 6.68E-009
"RPPLNGI2",    6347.36,   0.97008,    11.33, 3.30073E-006, 5.2E-008, 1.29432E-008, 2.039E-010, 3.88316E-008, 6.712E-009
"PDTJLNMASJID",    6325.18,   0.96669,    11.33, 3.29072E-006, 5.203E-008, 1.3468E-008, 2.129E-010, 4.04063E-008, 6.736E-009
"BELLA",    6310.38,   0.96443,    11.33, 3.28404E-006, 5.204E-008, 1.38714E-008, 2.198E-010, 4.16167E-008, 6.752E-009
"PSTPDGN",    6302.97,    0.9633,    11.33, 3.2807E-006, 5.205E-008, 1.40876E-008, 2.235E-010, 4.22652E-008, 6.76E-009
"PAMDRA",    6375.85,   0.97444,    11.33, 3.3136E-006, 5.197E-008, 1.24068E-008, 1.946E-010, 3.72219E-008, 6.681E-009
"DUMA4",    6371.97,   0.97384,    11.33, 3.31185E-006, 5.198E-008, 1.2692E-008, 1.992E-010, 3.80782E-008, 6.685E-009
"PLSDRA",    6361.15,   0.97219,    11.33, 3.30698E-006, 5.199E-008, 1.72214E-008, 2.707E-010, 5.16672E-008, 6.697E-009
"SSU_UPTWRES_IR1",    6356.57,   0.97149,    11.33, 3.30492E-006, 5.199E-008, 1.74457E-008, 2.745E-010, 5.23391E-008, 6.702E-009
"ATRIA_1",    6355.92,   0.97139,    11.33, 3.30459E-006, 5.199E-008, 1.26175E-008, 1.985E-010, 3.78547E-008, 6.702E-009
"HAWKER",    6351.39,    0.9707,    11.33, 3.30255E-006, 5.2E-008, 1.34748E-008, 2.122E-010, 4.04266E-008, 6.707E-009
"PRMTE",    6330.58,   0.96752,    11.33, 3.29328E-006, 5.202E-008, 3.28667E-008, 5.192E-010, 9.86023E-008, 6.732E-009
"PRMTA",    6323.96,   0.96651,    11.33, 3.29031E-006, 5.203E-008, 3.32329E-008, 5.255E-010, 9.97009E-008, 6.739E-009
"PMONTB",    6321.31,    0.9661,    11.33, 3.28913E-006, 5.203E-008, 3.50558E-008, 5.546E-010, 1.05169E-007, 6.742E-009
"DUMA7",    6371.39,   0.97376,    11.33, 3.31158E-006, 5.198E-008, 1.24478E-008, 1.954E-010, 3.7345E-008, 6.686E-009
"HAUS",    6368.43,    0.9733,    11.33, 3.31025E-006, 5.198E-008, 1.1719E-008, 1.84E-010, 3.51592E-008, 6.689E-009
"DUMA6",    6365.98,   0.97293,    11.33, 3.30916E-006, 5.198E-008, 9.62112E-009, 1.511E-010, 2.88661E-008, 6.692E-009
"DUMA13",    6374.16,   0.97418,    11.33, 3.31287E-006, 5.197E-008, 2.48172E-009, 3.893E-011, 7.4479E-009, 6.684E-009
