Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22622,      10477,      19591
PPU_DUMA_11KV,      21086,      23468,      18261
RPPLNGI2    ,      12900,      14792,      11171
PDTJLNMASJID,       9089,      10383,       7871
BELLA       ,       6971,       7915,       6037
PSTPDGN     ,       5634,       6365,       4879
PAMDRA      ,      19911,      22332,      17243
DUMA4       ,      16461,      11422,      14255
PLSDRA      ,      10721,       4075,       9284
SSU_UPTWRES_IR1,       9061,       3845,       7847
ATRIA_1     ,       7475,       8508,       6473
HAWKER      ,       4372,       3567,       3786
PRMTE       ,      11237,       6143,       9731
PRMTA       ,      10135,       5815,       8777
PMONTB      ,       9183,       4482,       7953
DUMA7       ,      17862,      20247,      15468
HAUS        ,      14226,       8809,      12319
DUMA6       ,       7359,       2498,       6373
DUMA13      ,       4292,       1271,       3717
SSU_DUMA5_IM2,       3750,       1228,       3247
PLNGI_B     ,      12842,      14729,      11121
PLNGI_D     ,       9029,      10324,       7819
PDTLITRAK   ,       9113,      10410,       7891
DUMA12      ,       7007,       7954,       6068
TMNGH4      ,       5826,       4052,       5045
SSU_TMEGAH3_IR1,       5267,       3077,       4561
TMNGH2      ,       4852,       2530,       4202
SPRK9       ,       6988,       7931,       6051
BOMBA       ,       6720,       6737,       5820
SPRK8       ,       5592,       3595,       4843
SSU_UPTWRES_IM2,      15561,      11566,      13476
MAYBANK     ,      10407,       8501,       9012
DUMA8       ,       9601,       6405,       8314
SSU_DSARCNTR_IR1,      12824,      14710,      11106
DUMA9       ,       8329,       9499,       7212
DUMA1       ,       5988,       6776,       5186
ELITE       ,       4973,       5604,       4307
DUMA10      ,       8077,       9210,       6994
BALAIPOLIS  ,       7969,       9084,       6901
SSU_DUMA5_M11KV,          0,          0,          0
