Bus,  3-Phase,  1-Phase,  L-L
PPU_DUMA_33KV,      22612,      10569,      19582
PPU_DUMA_11KV,      21085,      23549,      18260
RPPLNGI2    ,      13137,      15124,      11376
PDTJLNMASJID,       9315,      10686,       8067
BELLA       ,       7171,       8175,       6210
PSTPDGN     ,       5813,       6592,       5034
PAMDRA      ,      19978,      22483,      17301
DUMA4       ,      16691,      11799,      14454
PLSDRA      ,      11034,       4138,       9555
SSU_UPTWRES_IR1,       9336,       3908,       8084
ATRIA_1     ,       7689,       8782,       6658
HAWKER      ,       4505,       3681,       3901
PRMTE       ,      11455,       6144,       9920
PRMTA       ,      10356,       5825,       8968
PMONTB      ,       9419,       4504,       8157
DUMA7       ,      18015,      20492,      15600
HAUS        ,      14528,       9106,      12581
DUMA6       ,       7614,       2540,       6594
DUMA13      ,       4454,       1298,       3857
SSU_DUMA5_IM2,       3892,       1255,       3370
PLNGI_B     ,      13110,      15093,      11353
PLNGI_D     ,       9281,      10647,       8037
PDTLITRAK   ,       9342,      10716,       8090
DUMA12      ,       7204,       8212,       6239
TMNGH4      ,       6008,       4171,       5203
SSU_TMEGAH3_IR1,       5440,       3153,       4711
TMNGH2      ,       5017,       2588,       4345
SPRK9       ,       7175,       8180,       6214
BOMBA       ,       6906,       6963,       5980
SPRK8       ,       5772,       3714,       4998
SSU_UPTWRES_IM2,      15762,      11897,      13650
MAYBANK     ,      10662,       8761,       9233
DUMA8       ,       9861,       6613,       8539
SSU_DSARCNTR_IR1,      13097,      15077,      11342
DUMA9       ,       8549,       9789,       7404
DUMA1       ,       6168,       7005,       5341
ELITE       ,       5133,       5804,       4445
DUMA10      ,       8304,       9503,       7192
BALAIPOLIS  ,       8195,       9374,       7097
