Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18188.3,    4.5,   0.95464, 2,    18188.3, -115.5,   0.95464, 3,    18188.3,  124.5,   0.95464
"PPU_DUMA_11KV", 11, 1,    4632.37,   13.6,   0.72941, 2,    4632.37, -106.4,   0.72941, 3,    4632.37,  133.6,   0.72941
"RPPLNGI2", 11, 1,    4786.25,   15.5,   0.75364, 2,    4786.25, -104.5,   0.75364, 3,    4786.25,  135.5,   0.75364
"PDTJLNMASJID", 11, 1,    4905.11,   16.9,   0.77235, 2,    4905.11, -103.1,   0.77235, 3,    4905.11,  136.9,   0.77235
"BELLA", 11, 1,    4985.94,   17.8,   0.78508, 2,    4985.94, -102.2,   0.78508, 3,    4985.94,  137.8,   0.78508
"PSTPDGN", 11, 1,    5026.82,   18.2,   0.79152, 2,    5026.82, -101.8,   0.79152, 3,    5026.82,  138.2,   0.79152
"PAMDRA", 11, 1,    4647.68,   13.8,   0.73182, 2,    4647.68, -106.2,   0.73182, 3,    4647.68,  133.8,   0.73182
"DUMA4", 11, 1,    4699.99,   14.2,   0.74006, 2,    4699.99, -105.8,   0.74006, 3,    4699.99,  134.2,   0.74006
"PLSDRA", 11, 1,    4817.87,   14.8,   0.75862, 2,    4817.87, -105.2,   0.75862, 3,    4817.87,  134.8,   0.75862
"SSU_UPTWRES_IR1", 11, 1,    4837.58,   15.0,   0.76172, 2,    4837.58, -105.0,   0.76172, 3,    4837.58,  135.0,   0.76172
"ATRIA_1", 11, 1,    4838.72,   16.1,    0.7619, 2,    4838.72, -103.9,    0.7619, 3,    4838.72,  136.1,    0.7619
"HAWKER", 11, 1,    4873.63,   17.9,    0.7674, 2,    4873.63, -102.1,    0.7674, 3,    4873.63,  137.9,    0.7674
"PRMTE", 11, 1,    4769.87,   15.5,   0.75106, 2,    4769.87, -104.5,   0.75106, 3,    4769.87,  135.5,   0.75106
"PRMTA", 11, 1,    4793.33,   15.8,   0.75475, 2,    4793.33, -104.2,   0.75475, 3,    4793.33,  135.8,   0.75475
"PMONTB", 11, 1,    4811.98,   15.9,   0.75769, 2,    4811.98, -104.1,   0.75769, 3,    4811.98,  135.9,   0.75769
