Bus,  V1,  p.u.,Base kV, V2, %V2/V1, V0, %V0/V1, Vresidual, %NEMA
PPU_DUMA_33KV,19052.6,1,33,9.31E-06,4.89E-08,1.24E-06,6.51E-09,3.72E-06,6.51E-09
PPU_DUMA_11KV,6350.93,1,11,3.29E-06,5.18E-08,1.31E-11,2.06E-13,3.81E-11,6.51E-09
RPPLNGI2,6350.93,1,11,3.29E-06,5.18E-08,1.30E-11,2.04E-13,3.86E-11,6.51E-09
PDTJLNMASJID,6350.93,1,11,3.29E-06,5.18E-08,1.26E-11,1.98E-13,3.70E-11,6.51E-09
BELLA,6350.94,1,11,3.29E-06,5.18E-08,1.34E-11,2.11E-13,3.95E-11,6.51E-09
PSTPDGN,6350.94,1,11,3.29E-06,5.18E-08,1.38E-11,2.17E-13,4.03E-11,6.51E-09
PAMDRA,6350.93,1,11,3.29E-06,5.18E-08,1.26E-11,1.99E-13,3.80E-11,6.51E-09
DUMA4,6350.93,1,11,3.29E-06,5.18E-08,1.69E-11,2.66E-13,5.04E-11,6.51E-09
PLSDRA,6350.93,1,11,3.29E-06,5.18E-08,2.77E-11,4.37E-13,8.22E-11,6.51E-09
SSU_UPTWRES_IR1,6350.93,1,11,3.29E-06,5.18E-08,2.73E-11,4.30E-13,8.22E-11,6.51E-09
ATRIA_1,6350.93,1,11,3.29E-06,5.18E-08,1.29E-11,2.03E-13,3.68E-11,6.51E-09
HAWKER,6350.94,1,11,3.29E-06,5.18E-08,1.34E-11,2.12E-13,3.87E-11,6.51E-09
PRMTE,6350.93,1,11,3.29E-06,5.18E-08,1.44E-11,2.26E-13,4.39E-11,6.51E-09
PRMTA,6350.93,1,11,3.29E-06,5.18E-08,1.48E-11,2.33E-13,4.51E-11,6.51E-09
PMONTB,6350.93,1,11,3.29E-06,5.18E-08,1.91E-11,3.00E-13,5.83E-11,6.51E-09
DUMA7,6350.93,1,11,3.29E-06,5.18E-08,1.35E-11,2.13E-13,3.92E-11,6.51E-09
HAUS,6350.93,1,11,3.29E-06,5.18E-08,1.63E-11,2.57E-13,4.97E-11,6.51E-09
DUMA6,6350.94,1,11,3.29E-06,5.18E-08,2.50E-11,3.94E-13,7.56E-11,6.51E-09
DUMA13,6350.94,1,11,3.29E-06,5.18E-08,3.44E-11,5.42E-13,1.03E-10,6.51E-09
SSU_DUMA5_IM2,6350.94,1,11,3.29E-06,5.18E-08,3.40E-11,5.35E-13,1.03E-10,6.51E-09
PLNGI_B,6350.93,1,11,3.29E-06,5.18E-08,1.37E-11,2.16E-13,3.94E-11,6.51E-09
PLNGI_D,6350.93,1,11,3.29E-06,5.18E-08,1.30E-11,2.05E-13,3.87E-11,6.51E-09
PDTLITRAK,6350.94,1,11,3.29E-06,5.18E-08,1.28E-11,2.02E-13,3.79E-11,6.51E-09
DUMA12,6350.94,1,11,3.29E-06,5.18E-08,1.32E-11,2.07E-13,3.78E-11,6.51E-09
TMNGH4,6350.94,1,11,3.29E-06,5.18E-08,1.06E-11,1.68E-13,3.08E-11,6.51E-09
SSU_TMEGAH3_IR1,6350.94,1,11,3.29E-06,5.18E-08,9.66E-12,1.52E-13,2.75E-11,6.51E-09
TMNGH2,6350.94,1,11,3.29E-06,5.18E-08,6.99E-12,1.10E-13,1.96E-11,6.51E-09
SPRK9,6350.94,1,11,3.29E-06,5.18E-08,1.53E-11,2.42E-13,4.47E-11,6.51E-09
BOMBA,6350.94,1,11,3.29E-06,5.18E-08,1.70E-11,2.68E-13,4.97E-11,6.51E-09
SPRK8,6350.94,1,11,3.29E-06,5.18E-08,1.69E-11,2.66E-13,4.94E-11,6.51E-09
SSU_UPTWRES_IM2,6350.93,1,11,3.29E-06,5.18E-08,5.00E-12,7.88E-14,1.58E-11,6.51E-09
MAYBANK,6350.93,1,11,3.29E-06,5.18E-08,4.75E-12,7.48E-14,1.44E-11,6.51E-09
DUMA8,6350.93,1,11,3.29E-06,5.18E-08,2.88E-12,4.54E-14,1.08E-11,6.51E-09
SSU_DSARCNTR_IR1,6350.93,1,11,3.29E-06,5.18E-08,1.35E-11,2.12E-13,3.97E-11,6.51E-09
DUMA9,6350.94,1,11,3.29E-06,5.18E-08,1.15E-11,1.82E-13,3.38E-11,6.51E-09
DUMA1,6350.94,1,11,3.29E-06,5.18E-08,1.14E-11,1.80E-13,3.37E-11,6.51E-09
ELITE,6350.94,1,11,3.29E-06,5.18E-08,1.19E-11,1.87E-13,3.46E-11,6.51E-09
DUMA10,6350.93,1,11,3.29E-06,5.18E-08,4.06E-11,6.39E-13,1.24E-10,6.51E-09
BALAIPOLIS,6350.93,1,11,3.29E-06,5.18E-08,4.15E-11,6.53E-13,1.25E-10,6.51E-09
PPU_DUMA_VCB1,0,0,33,0,0,0,0,0,0
