Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18731.9,    5.4,   0.98317, 2,    18731.9, -114.6,   0.98317, 3,    18731.9,  125.4,   0.98317
"PPU_DUMA_11KV", 11, 1,    5892.58,   -5.6,   0.92784, 2,    5892.58, -125.6,   0.92784, 3,    5892.58,  114.4,   0.92784
"RPPLNGI2", 11, 1,    6058.47,   -4.0,   0.95396, 2,    6058.47, -124.0,   0.95396, 3,    6058.47,  116.0,   0.95396
"PDTJLNMASJID", 11, 1,    6183.89,   -2.8,   0.97371, 2,    6183.89, -122.8,   0.97371, 3,    6183.89,  117.2,   0.97371
"BELLA", 11, 1,    6267.93,   -2.1,   0.98694, 2,    6267.93, -122.1,   0.98694, 3,    6267.93,  117.9,   0.98694
"PSTPDGN", 11, 1,    6310.06,   -1.7,   0.99358, 2,    6310.06, -121.7,   0.99358, 3,    6310.06,  118.3,   0.99358
"PAMDRA", 11, 1,    5910.09,   -5.4,    0.9306, 2,    5910.09, -125.4,    0.9306, 3,    5910.09,  114.6,    0.9306
"DUMA4", 11, 1,    5969.06,   -5.0,   0.93988, 2,    5969.06, -125.0,   0.93988, 3,    5969.06,  115.0,   0.93988
"PLSDRA", 11, 1,    6099.65,   -4.5,   0.96045, 2,    6099.65, -124.5,   0.96045, 3,    6099.65,  115.5,   0.96045
"SSU_UPTWRES_IR1", 11, 1,     6121.4,   -4.3,   0.96387, 2,     6121.4, -124.3,   0.96387, 3,     6121.4,  115.7,   0.96387
"ATRIA_1", 11, 1,    6119.92,   -3.4,   0.96364, 2,    6119.92, -123.4,   0.96364, 3,    6119.92,  116.6,   0.96364
"HAWKER", 11, 1,    6158.29,   -1.9,   0.96968, 2,    6158.29, -121.9,   0.96968, 3,    6158.29,  118.1,   0.96968
"PRMTE", 11, 1,    6047.42,   -3.9,   0.95222, 2,    6047.42, -123.9,   0.95222, 3,    6047.42,  116.1,   0.95222
"PRMTA", 11, 1,    6073.65,   -3.6,   0.95635, 2,    6073.65, -123.6,   0.95635, 3,    6073.65,  116.4,   0.95635
"PMONTB", 11, 1,    6094.42,   -3.5,   0.95962, 2,    6094.42, -123.5,   0.95962, 3,    6094.42,  116.5,   0.95962
"DUMA7", 11, 1,    5953.46,   -5.0,   0.93743, 2,    5953.46, -125.0,   0.93743, 3,    5953.46,  115.0,   0.93743
"HAUS", 11, 1,    6075.49,   -4.5,   0.95664, 2,    6075.49, -124.5,   0.95664, 3,    6075.49,  115.5,   0.95664
"DUMA6", 11, 1,     6404.7,   -3.2,    1.0085, 2,     6404.7, -123.2,    1.0085, 3,     6404.7,  116.8,    1.0085
"DUMA13", 11, 1,    6700.82,   -2.1,    1.0551, 2,    6700.82, -122.1,    1.0551, 3,    6700.82,  117.9,    1.0551
"SSU_DUMA5_IM2", 11, 1,    6740.27,   -1.8,    1.0613, 2,    6740.27, -121.8,    1.0613, 3,    6740.27,  118.2,    1.0613
"PLNGI_B", 11, 1,    5980.54,   -4.8,   0.94169, 2,    5980.54, -124.8,   0.94169, 3,    5980.54,  115.2,   0.94169
"PLNGI_D", 11, 1,    6024.66,   -4.4,   0.94864, 2,    6024.66, -124.4,   0.94864, 3,    6024.66,  115.6,   0.94864
"PDTLITRAK", 11, 1,    6277.91,   -1.8,   0.98851, 2,    6277.91, -121.8,   0.98851, 3,    6277.91,  118.2,   0.98851
"DUMA12", 11, 1,    6436.62,   -0.4,    1.0135, 2,    6436.62, -120.4,    1.0135, 3,    6436.62,  119.6,    1.0135
"TMNGH4", 11, 1,    6586.85,    0.2,    1.0372, 2,    6586.85, -119.8,    1.0372, 3,    6586.85,  120.2,    1.0372
"SSU_TMEGAH3_IR1", 11, 1,    6646.85,    0.4,    1.0466, 2,    6646.85, -119.6,    1.0466, 3,    6646.85,  120.4,    1.0466
"TMNGH2", 11, 1,    6672.81,    0.5,    1.0507, 2,    6672.81, -119.5,    1.0507, 3,    6672.81,  120.5,    1.0507
"SPRK9", 11, 1,    6262.28,   -2.1,   0.98605, 2,    6262.28, -122.1,   0.98605, 3,    6262.28,  117.9,   0.98605
"BOMBA", 11, 1,    6283.39,   -2.0,   0.98938, 2,    6283.39, -122.0,   0.98938, 3,    6283.39,  118.0,   0.98938
