Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18892.7,   -0.5,   0.99161, 2,    18892.7, -120.5,   0.99161, 3,    18892.7,  119.5,   0.99161
"PPU_DUMA_11KV", 11, 1,    6164.57,  -32.6,   0.97067, 2,    6164.57, -152.6,   0.97067, 3,    6164.57,   87.4,   0.97067
"RPPLNGI2", 11, 1,    6126.61,  -32.7,   0.96469, 2,    6126.61, -152.7,   0.96469, 3,    6126.61,   87.3,   0.96469
"PDTJLNMASJID", 11, 1,     6098.1,  -32.8,    0.9602, 2,     6098.1, -152.8,    0.9602, 3,     6098.1,   87.2,    0.9602
"BELLA", 11, 1,    6079.07,  -32.8,   0.95721, 2,    6079.07, -152.8,   0.95721, 3,    6079.07,   87.2,   0.95721
"PSTPDGN", 11, 1,    6069.55,  -32.8,   0.95571, 2,    6069.55, -152.8,   0.95571, 3,    6069.55,   87.2,   0.95571
"PAMDRA", 11, 1,    6162.79,  -32.6,   0.97039, 2,    6162.79, -152.6,   0.97039, 3,    6162.79,   87.4,   0.97039
"DUMA4", 11, 1,    6156.39,  -32.6,   0.96938, 2,    6156.39, -152.6,   0.96938, 3,    6156.39,   87.4,   0.96938
"PLSDRA", 11, 1,    6139.89,  -32.6,   0.96678, 2,    6139.89, -152.6,   0.96678, 3,    6139.89,   87.4,   0.96678
"SSU_UPTWRES_IR1", 11, 1,    6134.23,  -32.6,   0.96589, 2,    6134.23, -152.6,   0.96589, 3,    6134.23,   87.4,   0.96589
"ATRIA_1", 11, 1,    6133.21,  -32.7,   0.96573, 2,    6133.21, -152.7,   0.96573, 3,    6133.21,   87.3,   0.96573
"HAWKER", 11, 1,    6126.79,  -32.7,   0.96472, 2,    6126.79, -152.7,   0.96472, 3,    6126.79,   87.3,   0.96472
"PRMTE", 11, 1,    6109.19,  -32.8,   0.96195, 2,    6109.19, -152.8,   0.96195, 3,    6109.19,   87.2,   0.96195
"PRMTA", 11, 1,    6101.11,  -32.8,   0.96068, 2,    6101.11, -152.8,   0.96068, 3,    6101.11,   87.2,   0.96068
"PMONTB", 11, 1,    6097.51,  -32.8,   0.96011, 2,    6097.51, -152.8,   0.96011, 3,    6097.51,   87.2,   0.96011
"DUMA7", 11, 1,    6154.37,  -32.6,   0.96906, 2,    6154.37, -152.6,   0.96906, 3,    6154.37,   87.4,   0.96906
"HAUS", 11, 1,    6142.28,  -32.6,   0.96716, 2,    6142.28, -152.6,   0.96716, 3,    6142.28,   87.4,   0.96716
"DUMA6", 11, 1,    6111.56,  -32.6,   0.96232, 2,    6111.56, -152.6,   0.96232, 3,    6111.56,   87.4,   0.96232
"DUMA13", 11, 1,    6088.27,  -32.5,   0.95865, 2,    6088.27, -152.5,   0.95865, 3,    6088.27,   87.5,   0.95865
"SSU_DUMA5_IM2", 11, 1,    6082.14,  -32.6,   0.95769, 2,    6082.14, -152.6,   0.95769, 3,    6082.14,   87.4,   0.95769
