Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    18891.2,    4.7,   0.99153, 2,    18891.2, -115.3,   0.99153, 3,    18891.2,  124.7,   0.99153
"PPU_DUMA_11KV_A", 11, 1,    6185.45,  -16.3,   0.97396, 2,    6185.45, -136.3,   0.97396, 3,    6185.45,  103.7,   0.97396
"PPU_DUMA_11KV_B", 11, 1,     6043.5,  -12.1,    0.9516, 2,     6043.5, -132.1,    0.9516, 3,     6043.5,  107.9,    0.9516
"RPPLNGI2", 11, 1,    6171.44,  -10.6,   0.97175, 2,    6171.44, -130.6,   0.97175, 3,    6171.44,  109.4,   0.97175
"PDTJLNMASJID", 11, 1,    6268.46,   -9.6,   0.98703, 2,    6268.46, -129.6,   0.98703, 3,    6268.46,  110.4,   0.98703
"BELLA", 11, 1,    6333.61,   -8.9,   0.99728, 2,    6333.61, -128.9,   0.99728, 3,    6333.61,  111.1,   0.99728
"PSTPDGN", 11, 1,    6366.31,   -8.6,    1.0024, 2,    6366.31, -128.6,    1.0024, 3,    6366.31,  111.4,    1.0024
"ATRIA_1", 11, 1,    6236.74,  -10.1,   0.98203, 2,    6236.74, -130.1,   0.98203, 3,    6236.74,  109.9,   0.98203
"HAWKER", 11, 1,    6268.43,   -8.6,   0.98702, 2,    6268.43, -128.6,   0.98702, 3,    6268.43,  111.4,   0.98702
"DUMA7", 11, 1,    6093.58,  -11.5,   0.95949, 2,    6093.58, -131.5,   0.95949, 3,    6093.58,  108.5,   0.95949
"HAUS", 11, 1,    6202.42,  -11.0,   0.97663, 2,    6202.42, -131.0,   0.97663, 3,    6202.42,  109.0,   0.97663
"DUMA6", 11, 1,    6499.17,   -9.7,    1.0234, 2,    6499.17, -129.7,    1.0234, 3,    6499.17,  110.3,    1.0234
"DUMA13", 11, 1,    6770.73,   -8.7,    1.0661, 2,    6770.73, -128.7,    1.0661, 3,    6770.73,  111.3,    1.0661
"SSU_DUMA5_IM2", 11, 1,    6804.13,   -8.4,    1.0714, 2,    6804.12, -128.4,    1.0714, 3,    6804.13,  111.6,    1.0714
"PDTLITRAK", 11, 1,    6378.21,   -8.5,    1.0043, 2,    6378.21, -128.5,    1.0043, 3,    6378.21,  111.5,    1.0043
"DUMA12", 11, 1,    6516.08,   -7.2,     1.026, 2,    6516.08, -127.2,     1.026, 3,    6516.08,  112.8,     1.026
"TMNGH4", 11, 1,     6649.9,   -6.7,    1.0471, 2,     6649.9, -126.7,    1.0471, 3,     6649.9,  113.3,    1.0471
"SSU_TMEGAH3_IR1", 11, 1,    6703.16,   -6.4,    1.0555, 2,    6703.16, -126.4,    1.0555, 3,    6703.16,  113.6,    1.0555
"TMNGH2", 11, 1,    6725.34,   -6.4,     1.059, 2,    6725.34, -126.4,     1.059, 3,    6725.34,  113.6,     1.059
"SSU_UPTWRES_IM2", 11, 1,    6093.77,  -11.4,   0.95952, 2,    6093.77, -131.4,   0.95952, 3,    6093.77,  108.6,   0.95952
"MAYBANK", 11, 1,     6171.5,  -10.7,   0.97176, 2,     6171.5, -130.7,   0.97176, 3,     6171.5,  109.3,   0.97176
"DUMA8", 11, 1,     6186.4,  -10.6,   0.97411, 2,     6186.4, -130.6,   0.97411, 3,     6186.4,  109.4,   0.97411
"DUMA9", 11, 1,    6274.57,   -9.6,   0.98799, 2,    6274.57, -129.6,   0.98799, 3,    6274.57,  110.4,   0.98799
"DUMA1", 11, 1,    6370.23,   -8.6,    1.0031, 2,    6370.23, -128.6,    1.0031, 3,    6370.23,  111.4,    1.0031
"ELITE", 11, 1,    6404.61,   -8.3,    1.0085, 2,    6404.61, -128.3,    1.0085, 3,    6404.61,  111.7,    1.0085
"PAMDRA", 11, 1,     6200.5,  -16.1,   0.97633, 2,     6200.5, -136.1,   0.97633, 3,     6200.5,  103.9,   0.97633
"DUMA4", 11, 1,    6250.85,  -15.8,   0.98425, 2,    6250.85, -135.8,   0.98425, 3,    6250.85,  104.2,   0.98425
"PLSDRA", 11, 1,    6360.31,  -15.3,    1.0015, 2,    6360.31, -135.3,    1.0015, 3,    6360.31,  104.7,    1.0015
"PRMTE", 11, 1,    6281.95,  -14.9,   0.98915, 2,    6281.95, -134.9,   0.98915, 3,    6281.95,  105.1,   0.98915
"PRMTA", 11, 1,    6299.44,  -14.7,   0.99191, 2,    6299.44, -134.7,   0.99191, 3,    6299.44,  105.3,   0.99191
"PMONTB", 11, 1,    6316.02,  -14.6,   0.99452, 2,    6316.02, -134.6,   0.99452, 3,    6316.02,  105.4,   0.99452
"PLNGI_B", 11, 1,    6263.46,  -15.5,   0.98624, 2,    6263.46, -135.5,   0.98624, 3,    6263.46,  104.5,   0.98624
"PLNGI_D", 11, 1,    6304.99,  -15.2,   0.99278, 2,    6304.99, -135.2,   0.99278, 3,    6304.99,  104.8,   0.99278
"SPRK9", 11, 1,    6455.39,  -13.3,    1.0165, 2,    6455.39, -133.3,    1.0165, 3,    6455.39,  106.7,    1.0165
"BOMBA", 11, 1,    6471.78,  -13.2,     1.019, 2,    6471.78, -133.2,     1.019, 3,    6471.78,  106.8,     1.019
"SPRK8", 11, 1,    6512.64,  -13.0,    1.0255, 2,    6512.64, -133.0,    1.0255, 3,    6512.64,  107.0,    1.0255
"SSU_DSARCNTR_IR1", 11, 1,    6226.28,  -15.9,   0.98038, 2,    6226.28, -135.9,   0.98038, 3,    6226.28,  104.1,   0.98038
"DUMA10", 11, 1,    6362.56,  -14.6,    1.0018, 2,    6362.56, -134.6,    1.0018, 3,    6362.56,  105.4,    1.0018
"BALAIPOLIS", 11, 1,    6364.44,  -14.6,    1.0021, 2,    6364.44, -134.6,    1.0021, 3,    6364.44,  105.4,    1.0021
"SSU_UPTWRES_IR1", 11, 1,    6375.75,  -15.1,    1.0039, 2,    6375.75, -135.1,    1.0039, 3,    6375.75,  104.9,    1.0039
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
